Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
111675408313515,Lisbon Energy Summit,These ads ran without a disclaimer,4651,1
104993265135636,Callmi brighterstar,These ads ran without a disclaimer,4518,3
100792702925766,Wakilin Gombe,Wakilin Gombe,4404,4
111180371693748,Rt.Hon Peter Odey - Cross River State Deputy Governor -Elect,Prince Charles Ekanem Iv,4371,6
109442808414602,Azzembl,Electric Avenue Technologies,4186,1
101404116251370,Mallam zanna Zakki,These ads ran without a disclaimer,4186,8
111963574761205,propertyonlineng,These ads ran without a disclaimer,4162,1
153063591397681,Amazon Web Services,These ads ran without a disclaimer,4150,1
110851115241028,Esther Eyo,These ads ran without a disclaimer,3997,4
106041374304122,tasidproperties,These ads ran without a disclaimer,3872,2
102843031656169,Sheikh Barr. Salaaty - Al Imam,These ads ran without a disclaimer,3810,6
1410463462430327,ITECH HUB,These ads ran without a disclaimer,3770,3
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,3697,4
102384784918291,"Good Old Days, Greater Tomorrow","Good Old Days, Greater Tomorrow",3693,1
132881333574604,Omooba Dotun Babayemi,Dotun Babayemi,3693,1
109225188534168,Northwest-Northeast Concern Youth Movement for Tinubu/Kashim.,Mubarak Hamza Adam,3573,6
878141452335886,The Hope For Nigeria,Kerry Kenu,3557,2
112349224687773,Kufre Ekpoh,Kufre Imo Ekpoh,3463,4
104679584528987,Flourish,Tolutope Olubanke Anne Temitopeoluwa,3365,4
204740833658478,Exness Life,These ads ran without a disclaimer,3348,1
632207354077153,Harmony Group NG,These ads ran without a disclaimer,3259,1
103696798885313,Hon Onidare Sunday Bukunmi,Afeez Lawal,3251,2
258810957658900,Adamu A. Babale Makera,Adamu A. Babale Makera,3231,4
105804752471184,thecornerstone_cleaningservice,These ads ran without a disclaimer,3078,3
107222294567205,TheFutureproperty,These ads ran without a disclaimer,3073,2
154441408306502,NHRC Nigeria,National Human Rights Commission,3065,1
105634985644265,KOLLERIANO_REALTORS.co,These ads ran without a disclaimer,3057,1
108165847620952,Halimran printing,Enesi Audu Imrana,2977,3
105859485482596,Maldez Clothing,These ads ran without a disclaimer,2963,1
105025915490063,favourite_tamara,These ads ran without a disclaimer,2961,2
100285019505424,Thelandlord,These ads ran without a disclaimer,2945,1
128728490537179,Asuquo Ekpenyong,Prince Charles Ekanem Iv,2932,5
565225540184937,CGTN,These ads ran without a disclaimer,2927,5
100706615845799,hosadaye.global,These ads ran without a disclaimer,2813,1
101758032071362,Global Icon Realtors,These ads ran without a disclaimer,2807,1
100187402536724,Uniquezoni fans page,Uniquezoni fans page,2795,1
118344351226904,artforthaheart,These ads ran without a disclaimer,2770,1
115334404861316,naturalglowhairbeautystudio,These ads ran without a disclaimer,2672,1
103643272545659,Fifi Agoms Fabian,These ads ran without a disclaimer,2646,2
103696798885313,Hon Onidare Sunday Bukunmi,Olagunju Folake Alice,2600,1
101823426221858,Jamlife Aimtoget LTD,These ads ran without a disclaimer,2584,1
428157337550611,ICMM,These ads ran without a disclaimer,2433,1
107027501382458,Kulture9ja Properties,These ads ran without a disclaimer,2428,1
107102504969214,Abu-ubaida Muhammad,Abu-ubaida Muhammad,2373,4
1067862503344056,University of Aberdeen - School of Biological Sciences,These ads ran without a disclaimer,2357,1
101813086045206,Hon. Suleiman Abdulrazak Sariki,Hon. Suleiman Abdulrazak Sariki,2315,4
108505308773279,Cross-Cultural Ministry Conference,These ads ran without a disclaimer,2308,1
178828405481616,ViperAutos,These ads ran without a disclaimer,2308,1
102498712811379,Africa Technology Conference,These ads ran without a disclaimer,2308,3
1585677918362802,Kogi State Hub,MAAI,2308,1
102998939765184,Persian bms,These ads ran without a disclaimer,2308,1
106388832426668,precious_eniayekan,These ads ran without a disclaimer,2308,1
104523359275418,Mallam Zaki,These ads ran without a disclaimer,2295,1
502676379917641,Life After Abuse Foundation,These ads ran without a disclaimer,2294,2
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,2258,6
110377451680926,Aridunnu,These ads ran without a disclaimer,2258,1
103351771174496,Global Entertainment and Event Packaging,These ads ran without a disclaimer,2249,1
118307447870391,Johnprinc amadi,These ads ran without a disclaimer,2228,1
104110364883259,abbytohxoft,These ads ran without a disclaimer,2220,1
110168271962444,Sns spa,These ads ran without a disclaimer,2207,1
104680361991427,Hon. Mojisolaoluwa Alli-Macaulay,Omayeli Christabell Amorighoye,2200,1
102786675699969,Kogunan Gombe,Kogunan Gombe,2200,3
110338541289138,AHMED ALIYU Sokoto TV,Ayodeji Adeola Badru,2184,4
103298728066769,shoes_by_shem,These ads ran without a disclaimer,2152,2
112258301258576,guvnor_tiles_nigeria,These ads ran without a disclaimer,2096,5
101621876151164,Subtlehomefabrics_backuppage,These ads ran without a disclaimer,2049,1
474949016032212,Akin Fadeyi Foundation,Akin Fadeyi Foundation,2037,1
293324778273599,Marper Integrated Services,These ads ran without a disclaimer,2030,1
139577716095155,Newcastle University,These ads ran without a disclaimer,1997,1
103532961871284,Marion Group,These ads ran without a disclaimer,1991,1
108929107339848,Prime Global Consults,These ads ran without a disclaimer,1976,1
109786861602153,Precious Amukpo,These ads ran without a disclaimer,1925,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,1872,5
114258074924851,Fury-Ladies-fitness,John Emem,1860,1
112634211255089,Inside Osun,Illumination Comms,1846,1
121569847552169,deeperthansurfacelevelofficial,These ads ran without a disclaimer,1846,3
101796532915605,rostarfoundation,These ads ran without a disclaimer,1846,1
108412658483684,The We Agenda,These ads ran without a disclaimer,1846,1
596681367061430,Lorryback,These ads ran without a disclaimer,1846,1
108409741002988,Prince Hadi Sani; SA to Ogun State Governor on Inter-Ethnic Affairs.,Adu Ifeoluwa,1846,2
100833198713650,Bletwix Properties,These ads ran without a disclaimer,1843,1
1439846809634792,Christians & Muslims Conversations,These ads ran without a disclaimer,1835,1
198891422171605,Elite Star Foundation,Elite Star Foundation,1832,2
101473435929832,Fr. Alia New Media Centre,Fr. Alia New Media Centre,1778,4
604995746340748,Bishop Tom Samson,These ads ran without a disclaimer,1754,1
100383154696053,Lukaconfu vocal,Lukaconfu vocal,1746,3
104943074420129,Highlandchurch,These ads ran without a disclaimer,1700,2
114331500299474,Minister Iyke Simeon,These ads ran without a disclaimer,1638,2
2161812070509185,Yofarel Properties Nigeria,These ads ran without a disclaimer,1627,2
661422204214779,CNA Prime,These ads ran without a disclaimer,1610,1
109366762070994,Emodah,Emodah,1581,3
113206291683628,hairnita_wigs,These ads ran without a disclaimer,1572,1
561401207312234,StartUs,These ads ran without a disclaimer,1529,2
111530244317791,Eyitayo Alagbe Arts,These ads ran without a disclaimer,1521,1
1090814171006609,Men's Lives Matter Too,These ads ran without a disclaimer,1509,3
112077621392191,TechnocratMedia,Technocrat Innovations Plus Ltd,1499,1
106297432146076,Cathy Oma Properties,These ads ran without a disclaimer,1492,1
100780962875833,Prince Floriburg Mofor,These ads ran without a disclaimer,1463,1
111034255253902,Plevtv1,These ads ran without a disclaimer,1463,2
1121939461191937,HouseHold furniture and Interiors,These ads ran without a disclaimer,1459,1
103456135835061,Victor E. Archibong,Victor Emmanuel Archibong,1455,6
100825951801107,"The Girls' Brigade Nigeria, 1st Okuku Company, Okuku, Osun State",These ads ran without a disclaimer,1455,1
101149325455713,SOW #tari,These ads ran without a disclaimer,1452,2
104998958876210,asholasadaniel,These ads ran without a disclaimer,1445,1
103946931687975,thriftbyammy_men,These ads ran without a disclaimer,1402,1
109992798294853,Good View Hunting,These ads ran without a disclaimer,1385,2
103205701024387,jasoncunningham8278,These ads ran without a disclaimer,1371,1
110861658082667,Planet One,These ads ran without a disclaimer,1351,1
115822260263910,NILDS,These ads ran without a disclaimer,1343,2
17973644177,Global Peace Foundation,These ads ran without a disclaimer,1329,3
107715772042314,Illuminati society,These ads ran without a disclaimer,1295,1
411368726333436,Kelvin Simeon,These ads ran without a disclaimer,1294,1
108575020886084,Gabby Africa,These ads ran without a disclaimer,1288,1
112534228002589,Hon. Nkoyo Toyo,Victor Emmanuel Archibong,1262,3
115858478138273,BBC News Hausa,These ads ran without a disclaimer,1200,1
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,1172,2
226045621524475,Dei gratia furniture,These ads ran without a disclaimer,1170,1
104213733254731,E-Reporter News,These ads ran without a disclaimer,1143,1
103121642714614,Sonma_Kiddies Thrift,These ads ran without a disclaimer,1130,2
102607628908889,Minister Benjamin Israel,These ads ran without a disclaimer,1077,1
106900875202419,Newsflow.com.ng,newsflow,1064,1
115153598142596,KODA SIKA 042 TV,These ads ran without a disclaimer,1057,1
105102791641220,Vergetea Properties,These ads ran without a disclaimer,1055,1
118193131249402,official.york,These ads ran without a disclaimer,1021,1
103056309161921,Meksmedia,Meksmedia,1021,1
177706515594669,Azimut Yachts,These ads ran without a disclaimer,1019,1
100150428777585,obafunshyrecords,These ads ran without a disclaimer,1009,1
111556711354056,ZION TV,These ads ran without a disclaimer,1009,1
477522008967542,Benneth Nwankwo 0fficial Page,Benneth Nwankwo 0fficial Page,1000,1
104301685797883,New sokoto with Ahmad Aliyu FCNA,New sokoto with Ahmad Aliyu FCNA,1000,1
106040729123661,GREAT IFA OLOWO,These ads ran without a disclaimer,1000,1
108655974657364,Minister Chris-Alfred,These ads ran without a disclaimer,993,5
102244022809256,NCS Auction Sales,These ads ran without a disclaimer,981,1
101626669435406,Hassan Idris,These ads ran without a disclaimer,961,1
323543815072083,Issues OnGround,These ads ran without a disclaimer,945,1
100595249525719,Benjamin Kayode Adereti Support Group,Benjamin Kayode Adereti Support Group,931,1
111482448253168,ItzGlow stylz,These ads ran without a disclaimer,923,2
1126428877370419,Office of the Head of Civil Service of the Federation,These ads ran without a disclaimer,923,1
104058705992961,Erhiyojare O. Fidelis,These ads ran without a disclaimer,923,1
106466618935334,Inerepamo H. Amakoromo,These ads ran without a disclaimer,923,1
276762515673385,Hauwy's Musings,These ads ran without a disclaimer,923,1
118420731234931,Prince Adewale Egbedun,Ril Stories,918,3
106548655251843,Her Dimples,These ads ran without a disclaimer,917,1
106225585416579,Nasụigbo Television.,These ads ran without a disclaimer,892,1
1864236940464312,Sercle Inc,These ads ran without a disclaimer,887,2
108271701431768,ifeanyiabraham_,These ads ran without a disclaimer,880,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,877,1
107957192282282,Baba James,These ads ran without a disclaimer,875,16
106449690734893,TeamDanga4Ododo,These ads ran without a disclaimer,874,1
297904423657616,The ICIR,These ads ran without a disclaimer,872,1
887289491336788,Like Really?,These ads ran without a disclaimer,872,1
110924988382809,eventsbyoby,These ads ran without a disclaimer,865,1
56632622313,U.S. Mission Vienna,These ads ran without a disclaimer,856,1
109204013997512,hairretha,These ads ran without a disclaimer,853,1
632332697110646,Divine Dynamic,These ads ran without a disclaimer,831,1
111686968251066,Innocent Elizabeth,These ads ran without a disclaimer,822,4
1739003612874804,Fifth Quadrant Realty,These ads ran without a disclaimer,812,1
321207378328910,President Clinton Bellerye,These ads ran without a disclaimer,810,1
106892181994024,Osaro Onaiwu Jnr. Support Group,These ads ran without a disclaimer,803,1
106531742236577,pawpafrica,These ads ran without a disclaimer,793,1
700605850145423,Mathewsview,These ads ran without a disclaimer,785,1
110670751707495,RAINM,These ads ran without a disclaimer,765,1
257044301821870,Sen Barau Jibrin,Ayodeji Adeola Badru,762,2
285530825204,Klitschko,These ads ran without a disclaimer,749,5
109275075480139,Marketing with David,These ads ran without a disclaimer,738,1
232096183960855,Kiwivisuals,These ads ran without a disclaimer,727,1
1975667349129348,Kevin Ezemedolu,These ads ran without a disclaimer,720,1
106692618271168,Thrift Tee,These ads ran without a disclaimer,717,1
105822027470135,Careen General Production Company,These ads ran without a disclaimer,710,1
581327535671884,MAAI,MAAI,700,1
101979862714394,Samz,These ads ran without a disclaimer,686,1
479653188804784,HRH Prince Ebrahim,These ads ran without a disclaimer,667,1
132443313454238,Kingdom Men Global Network,These ads ran without a disclaimer,665,1
104508239268614,Ministry Books & Tapes,These ads ran without a disclaimer,660,1
315543515306,Jing Daily,These ads ran without a disclaimer,628,1
101137822001066,Missions 1 Online,These ads ran without a disclaimer,625,1
103260505442427,Lenzo Homes,These ads ran without a disclaimer,618,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,611,1
557611207612568,Kwaralefro,Adebayo Olayinka Owolabi,607,1
106828618214257,ziloc_constructions,These ads ran without a disclaimer,600,1
2249254108728941,Alh. Yahaya Barambu Project,Alh. Yahaya Barambu Project,600,1
101622722635138,Advocacy For Good Governance,Nnadi Sunny,600,1
102124265975644,Kenneth Okanoro Foundation,These ads ran without a disclaimer,600,1
111610538414482,Aliyu Ashiru Imam Wgn,These ads ran without a disclaimer,598,1
575246475820259,Health of Mother Earth Foundation,These ads ran without a disclaimer,596,1
105633835252462,Nigerian Institute of Professional Administrators and Office Tech & Mgt,These ads ran without a disclaimer,581,1
106299475598378,profkevinfenton,These ads ran without a disclaimer,581,1
102069895873498,kirahomesrealty__,These ads ran without a disclaimer,575,1
111654245049120,Isaac tani'wo oke fans page,These ads ran without a disclaimer,574,1
106672955546504,domanimedia,These ads ran without a disclaimer,569,2
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,558,1
2167254596853785,Credo Advisory,These ads ran without a disclaimer,554,1
2354484774786318,AKWA Ibom To The World,These ads ran without a disclaimer,532,1
100856059510675,Confie Zara,These ads ran without a disclaimer,528,1
106295499074070,Scent Zone,These ads ran without a disclaimer,518,1
115540694483809,pretawolzak,These ads ran without a disclaimer,510,1
110304938538447,John Samson Egbo,These ads ran without a disclaimer,481,1
110116950604610,governor_of_africa,These ads ran without a disclaimer,479,1
109140168636588,Blissful Clothings,These ads ran without a disclaimer,471,1
101572459355939,Pdboy Comedy,These ads ran without a disclaimer,466,1
103002376125365,Malam.Zaki,These ads ran without a disclaimer,465,1
103661802046368,Baba Ajih int,These ads ran without a disclaimer,464,1
105692001172603,spencerald,These ads ran without a disclaimer,463,1
191015535345,Youth For Technology Foundation,These ads ran without a disclaimer,462,1
105630141199849,QueenLet,These ads ran without a disclaimer,462,1
133887697201724,Mecoso,These ads ran without a disclaimer,462,1
399865110824129,Dr. Deji Folutile's BLOG,These ads ran without a disclaimer,462,1
286708178084605,Adaeze Adanna,These ads ran without a disclaimer,462,1
1548450055459098,Rural Watch Africa Initiative,These ads ran without a disclaimer,462,1
106784722385032,multiculturalnews,These ads ran without a disclaimer,462,1
113909224980171,Gihad Hamza,These ads ran without a disclaimer,462,4
106759528878842,Liberty Badmus Olawale,These ads ran without a disclaimer,462,1
371171589575669,China.org.cn,These ads ran without a disclaimer,462,1
170912539645748,Mark Batson,These ads ran without a disclaimer,462,1
425468610983737,Culture Creators,These ads ran without a disclaimer,462,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,462,1
106802727932684,Open Nigeria,These ads ran without a disclaimer,462,1
107064488960275,Amani Magazine,These ads ran without a disclaimer,462,1
101383706265517,mechamaking,These ads ran without a disclaimer,461,1
131189377574,MDPI,These ads ran without a disclaimer,460,1
107640920840336,People's Parliament,These ads ran without a disclaimer,460,1
114184975000819,Unexplained Beasts,These ads ran without a disclaimer,448,1
112160184434995,Marvelthan Nig Ltd,These ads ran without a disclaimer,447,1
100544805351051,ogebyfarah,These ads ran without a disclaimer,440,1
101979852605688,dahviel_realty,These ads ran without a disclaimer,438,1
106752558574480,Favourealt Properties,These ads ran without a disclaimer,414,1
104334565850055,Baba top,These ads ran without a disclaimer,413,1
108385975416214,Hon Bala Usman Chamo Tv,Ayodeji Adeola Badru,413,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,411,7
101518929592197,Make instant money in just 2 hours,These ads ran without a disclaimer,409,1
241664783089008,Xin,These ads ran without a disclaimer,406,3
114090174954341,Crowd 1 investment platform,These ads ran without a disclaimer,404,1
952092171555357,Edu-Inec ABUJA,These ads ran without a disclaimer,402,1
114530124851530,laoban_01,These ads ran without a disclaimer,402,1
100330936227455,Enabs Josh O Enaburekhan,These ads ran without a disclaimer,396,1
115295451541442,Edmund Rich,These ads ran without a disclaimer,394,2
106511851413129,ThriftwithOmon,These ads ran without a disclaimer,391,1
100595655871220,Market Pal,These ads ran without a disclaimer,391,1
105479391285185,Dr. Uwemedimo Udo,These ads ran without a disclaimer,385,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,383,56
115580461493295,Akwa okuku tiwaraki,These ads ran without a disclaimer,379,2
110109751985498,Surajo Sulaiman Rimin Kebe,These ads ran without a disclaimer,377,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,374,2
374543173059777,Hon. Adewumi Adeyemi,Adedayo Tolulakin Oderinu,368,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,360,1
108962994369288,Kasiez herbs,These ads ran without a disclaimer,354,1
203377086362406,Haruna Goroh,These ads ran without a disclaimer,353,1
107927508871889,Africa Youth Forum International,These ads ran without a disclaimer,346,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,342,2
713013475781209,Mrsfunny,These ads ran without a disclaimer,336,1
104741208497029,faceofdazzlingqueen_intl,These ads ran without a disclaimer,334,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,318,1
153371894688575,World Bank,These ads ran without a disclaimer,318,1
107145045627376,hon_chisom_nwaiwu,These ads ran without a disclaimer,308,1
102588549427567,Home Of Richie's and Wealth,These ads ran without a disclaimer,306,4
111160730747637,Trivia Stars,These ads ran without a disclaimer,295,1
110225175192877,Minister MONA,These ads ran without a disclaimer,292,2
101997875198097,Osayaya Properties & Partners,These ads ran without a disclaimer,291,1
525421700832365,Protectors of The Wood Adventure Series,These ads ran without a disclaimer,291,2
107096352088978,Rearmlat beauty's,These ads ran without a disclaimer,286,1
113025018420059,Professor stephen ocheni - Pso,These ads ran without a disclaimer,280,2
137081216383919,Newsdiaryonline,These ads ran without a disclaimer,272,2
101314839540807,Ibrahim Hassan Bashir,These ads ran without a disclaimer,264,1
204114440541199,Ânonymous legion,These ads ran without a disclaimer,259,1
703441703022651,News Corner Nigeria,These ads ran without a disclaimer,251,2
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,237,2
171522852874952,Juventus,These ads ran without a disclaimer,234,1
1062126860561994,B20,These ads ran without a disclaimer,226,1
31292782350,Deutschland.de,These ads ran without a disclaimer,209,8
107248915476720,bermix_cleaners,These ads ran without a disclaimer,204,1
100336939581116,Kingsley Chijioke,These ads ran without a disclaimer,204,1
104054385994829,TVs chennl,These ads ran without a disclaimer,191,1
103726632548155,Life of Kelly,These ads ran without a disclaimer,189,1
108807418502504,White Windmills on the Aegean Coast,These ads ran without a disclaimer,189,1
103367512730369,BABA OWO,These ads ran without a disclaimer,186,2
109611898624266,Chinex Links Worldwide,These ads ran without a disclaimer,183,1
172630432773629,UCA News,These ads ran without a disclaimer,181,1
100306016263791,Anambra State Road Traffic Management Agency,Anambra State Road Traffic Management Agency,178,3
106931698352366,Materials MDPI,These ads ran without a disclaimer,176,1
123960747284847,hajia_azeezah,These ads ran without a disclaimer,171,2
116121860302275,standout_homes,These ads ran without a disclaimer,167,1
101584235907584,New Listings - MulGem,These ads ran without a disclaimer,166,1
102815082396671,Tinubu Advocacy Group 2023,These ads ran without a disclaimer,166,1
2200850970150686,Sam Edoho,These ads ran without a disclaimer,164,1
101836915650800,Veritas MEDIA,THE POLITICO,161,1
108319878430462,Amanda Eze,These ads ran without a disclaimer,157,1
101732856082479,Sogo Omo Osun,These ads ran without a disclaimer,138,1
107213229021899,Kevin Iwuji,These ads ran without a disclaimer,138,1
104391852071040,Mosaic Temple,These ads ran without a disclaimer,134,1
104517365928280,People's Daily Online Thai,These ads ran without a disclaimer,134,1
112869030410159,Pst. Azemhe Azena PhD,These ads ran without a disclaimer,132,1
216588088800599,Adewale Daniel Academy,These ads ran without a disclaimer,132,1
103497538913739,Lindas homes,These ads ran without a disclaimer,123,1
215029561956548,African Guarantee Fund,These ads ran without a disclaimer,121,1
384668155734362,Rotary Club Of Abuja Maitama,These ads ran without a disclaimer,120,1
423609701387941,Peachbruh,These ads ran without a disclaimer,118,3
1767096530199949,Zhejiang University,These ads ran without a disclaimer,115,2
1286486861452393,Asia World Model United Nations,These ads ran without a disclaimer,110,1
918911988235970,Sammy Soundwell Hub,These ads ran without a disclaimer,108,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,102,1
131052503759881,Câmara de Comércio de Moçambique,These ads ran without a disclaimer,102,1
108875141301420,djsquarekid,These ads ran without a disclaimer,≤100,1
106641804529218,Ikeja Bird,These ads ran without a disclaimer,≤100,1
108692555391334,Rt. Hon. Satomi Ahmad Fnse,These ads ran without a disclaimer,≤100,1
2014103505554916,OBA Adewunmi Evangelical Outreach,These ads ran without a disclaimer,≤100,1
103968065823281,Stevosa's Corner,These ads ran without a disclaimer,≤100,1
105958935270880,Ignitation DNA Motivation,These ads ran without a disclaimer,≤100,5
114179211511148,Citizen Godswill John,These ads ran without a disclaimer,≤100,1
214432832445601,Gbenga Akinwande Foundation,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
112411161783656,Powerecng_,These ads ran without a disclaimer,≤100,1
106797889008143,Mallam zaaki,These ads ran without a disclaimer,≤100,1
421002731270405,swisspeace,These ads ran without a disclaimer,≤100,1
107358462251353,Fortunes Okoronkwo,These ads ran without a disclaimer,≤100,1
438651852841000,COLEAD.link,These ads ran without a disclaimer,≤100,1
