Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
104186555276619,Dato Salleh Saidin,These ads ran without a disclaimer,≤100,1
112394984287192,Communication R&D 溝通策略研究室,These ads ran without a disclaimer,≤100,1
107432552650139,Fandy Beauty,These ads ran without a disclaimer,≤100,1
108465889215669,CNEX Taiwan,These ads ran without a disclaimer,≤100,2
114355061651766,Coff,These ads ran without a disclaimer,≤100,2
287886244963328,Rakuten Group,These ads ran without a disclaimer,≤100,1
115998878155813,Dishwasher · desktop built-in dual-use,These ads ran without a disclaimer,≤100,1
119776993226845,Harna Gill,Harnaran Singh Gill,≤100,1
110616053654362,Mohamad Ali Mohamad,Mohamad Ali Bin Mohamad,≤100,1
101334692782921,Parti Keadilan Rakyat Cabang Seremban,Parti Keadilan Rakyat Cabang Seremban,≤100,1
1506827479630328,สำนักงาน ป.ป.ช.,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,2
104049152488926,Coklat viral,These ads ran without a disclaimer,≤100,1
106000477573537,圍爐 Warm Talking,These ads ran without a disclaimer,≤100,1
112566421806229,nasic_2023,These ads ran without a disclaimer,≤100,1
106308164844758,Countless Stories,These ads ran without a disclaimer,≤100,1
623786861080075,Mohd Sharkar Shamsudin,These ads ran without a disclaimer,≤100,1
102252525898596,Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,≤100,2
115050354893704,Uang Goib Putih Kyai Syamsuddin,These ads ran without a disclaimer,≤100,1
117423331329455,Career Goals HQ,These ads ran without a disclaimer,≤100,1
103739585569338,Excel PLUS Dato Dr Hj Mohd Fadzilah Kamsah,These ads ran without a disclaimer,≤100,2
100397332485110,Volnana,These ads ran without a disclaimer,≤100,1
314259468955437,ITEX Malaysia,These ads ran without a disclaimer,≤100,2
139577716095155,Newcastle University,These ads ran without a disclaimer,≤100,2
1531570613776466,拾方視角,These ads ran without a disclaimer,≤100,1
102651206157695,Anak Menteri,These ads ran without a disclaimer,≤100,1
110157737196692,Izhar Shah Arif Shah,These ads ran without a disclaimer,≤100,1
102583938498164,FL Motorsport,These ads ran without a disclaimer,≤100,1
101333726235144,Walanon Report,These ads ran without a disclaimer,≤100,1
104914515748810,Alea Luxury Branding,These ads ran without a disclaimer,≤100,1
1781454968850985,Media Pejuang Selangor,These ads ran without a disclaimer,≤100,1
101676435345397,Mohd Azhar,These ads ran without a disclaimer,≤100,1
103622826060927,Laman Rasmi Parti Bumiputera Perkasa Malaysia - Bahagian Langkawi,These ads ran without a disclaimer,≤100,1
101518589396320,妮妮总代,These ads ran without a disclaimer,≤100,1
660511300749137,省电王 Max Saver 2022,These ads ran without a disclaimer,≤100,1
123546032572,Eppendorf Group,These ads ran without a disclaimer,≤100,2
111571621941581,Bantuan Keuangan,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
108181462207608,Ummi Rose Bz II,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,3
118562497812908,People's Daily Online_BM,These ads ran without a disclaimer,≤100,2
111754748419398,Cgxdsushop-128,These ads ran without a disclaimer,≤100,1
105759421793819,Fakharuddin Moslim,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,63
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
312456128784829,Zaharudin Muhammad,These ads ran without a disclaimer,≤100,1
105657181940216,Pathgreen Energy Southern Region,These ads ran without a disclaimer,≤100,1
100711032853477,Farhan Shah Ridzuan,Farhan Shah,≤100,1
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
257137894309103,《車主》雜誌（Automobile Magazine Hong Kong）,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
511561258941414,Bong Jenn Fonng 黄振峰,These ads ran without a disclaimer,≤100,1
1755601671435339,Surau Al Iman Taman Puchong Utama,These ads ran without a disclaimer,≤100,1
261544251014983,Sheikh Abdul Raouf al-Yemani,These ads ran without a disclaimer,≤100,1
114400445304441,Suunto Diving,These ads ran without a disclaimer,≤100,1
1830007260613456,Bhutan Khabar,These ads ran without a disclaimer,≤100,1
160368511216287,FrieslandCampina Careers,These ads ran without a disclaimer,≤100,2
106351748595585,Puisi Pantai,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
207777662753368,ABUN SUI ANYIT,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,4
308432285929999,Solomon's Proverbs Commentary - Chinese Version,These ads ran without a disclaimer,≤100,1
1488435758114795,Paul Dholi,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
104741408445798,Pengkuei Ben Huang Photography,These ads ran without a disclaimer,≤100,1
443002529774627,Goody Malaysia,These ads ran without a disclaimer,≤100,1
192844937480061,The Third Pole,These ads ran without a disclaimer,≤100,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
194380057665803,Vedo Wellness,These ads ran without a disclaimer,≤100,1
105396005720390,Sahabat palestin,These ads ran without a disclaimer,≤100,3
191399134327652,aramco,These ads ran without a disclaimer,≤100,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,1
100427526341454,Active active,These ads ran without a disclaimer,≤100,2
102430968964470,Tatsujin Yakiniku & Yakitori 燒肉達人,These ads ran without a disclaimer,≤100,1
100219608332683,아모레퍼시픽 Amorepacific,These ads ran without a disclaimer,≤100,1
120081761074533,Chassey,These ads ran without a disclaimer,≤100,2
1396477910645371,Dewan Bandaraya Kuala Lumpur,These ads ran without a disclaimer,≤100,1
520171088019503,Liforme,These ads ran without a disclaimer,≤100,1
330451017046844,Amirudin Shari,These ads ran without a disclaimer,≤100,1
102017675943520,Veronica Silva Guedes,These ads ran without a disclaimer,≤100,1
525781104253994,即新聞,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
106702628892126,শিমুল তান্ত্রিক কবিরাজ,These ads ran without a disclaimer,≤100,1
103331996074143,employher.jenesys,These ads ran without a disclaimer,≤100,1
101143518133814,nakedwonders,These ads ran without a disclaimer,≤100,1
209205819142774,PAS Pulau Pinang,These ads ran without a disclaimer,≤100,1
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,1
105269258108591,EGCO Group,These ads ran without a disclaimer,≤100,1
779123885513211,森美兰咖啡酒餐旅商公会,These ads ran without a disclaimer,≤100,1
577078926016841,Tintenra Shop,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
110697875316729,r2s_signature.weddings,These ads ran without a disclaimer,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,7
109335605140131,Invest SEA,These ads ran without a disclaimer,≤100,3
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
218560423517893,the.nitik,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
2061937397420646,Dr Shahrul,These ads ran without a disclaimer,≤100,1
617291865091579,AsiaKOL 亞洲達人通,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,8
100895488193318,KPop/KDrama Club,These ads ran without a disclaimer,≤100,1
500259383489171,Guidable,These ads ran without a disclaimer,≤100,1
154012084797126,Yeni Şafak,These ads ran without a disclaimer,≤100,2
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,2
117023901352521,the_alyanch,These ads ran without a disclaimer,≤100,2
103710205958534,KITA - Sabah Celebrating Diversity,These ads ran without a disclaimer,≤100,1
221159141657466,Newswav,These ads ran without a disclaimer,≤100,1
627890167247866,EDOTCO Group,These ads ran without a disclaimer,≤100,2
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
484567214958993,Minhaj University Lahore,These ads ran without a disclaimer,≤100,1
214697158909990,Huawei Digital Power,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,1
277374024108425,International Admission Office-Xi’an Jiaotong University,These ads ran without a disclaimer,≤100,1
286094071469577,VINCI Energies,These ads ran without a disclaimer,≤100,1
110879028591764,CIFOR-ICRAF,These ads ran without a disclaimer,≤100,1
142914269087072,Cornell Lab of Ornithology,These ads ran without a disclaimer,≤100,1
106461555772915,henryarinze_,These ads ran without a disclaimer,≤100,1
172348652806226,DEKRA,These ads ran without a disclaimer,≤100,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,1
632561713457871,Satria Zhang,These ads ran without a disclaimer,≤100,1
151808344940167,Jevpic Productions,These ads ran without a disclaimer,≤100,1
122125810793113,Gam Speeder,These ads ran without a disclaimer,≤100,1
178117386051353,SunContract,These ads ran without a disclaimer,≤100,1
100430122967931,Celebrity Buda,These ads ran without a disclaimer,≤100,1
430941033954606,LIXIN CEO Center - 利鑫ceo中心,These ads ran without a disclaimer,≤100,1
150779984941409,Rave Mobile Safety,These ads ran without a disclaimer,≤100,1
122610304898,Science Centre Singapore,These ads ran without a disclaimer,≤100,2
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,4
776592812364469,Mixmag,These ads ran without a disclaimer,≤100,1
175846072821088,十方視角,These ads ran without a disclaimer,≤100,1
108527654799263,Discovery & Lifestyle,These ads ran without a disclaimer,≤100,1
101179095098420,Zone Optimum Health,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,2
114487307504803,小学状元kssr semakan 教材,These ads ran without a disclaimer,≤100,1
100289969661670,lifeof5en,These ads ran without a disclaimer,≤100,2
450131485341745,Future Energy Asia,These ads ran without a disclaimer,≤100,1
104324771785512,横河計測株式会社,These ads ran without a disclaimer,≤100,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,2
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100,1
