Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,21935,19
437410226312057,Københavns Kommune,Københavns Kommune,21676,20
304554445813,Videncentret Bolius,Bolius,20689,3
133707013355759,Danner,Danner,20520,2
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,20284,15
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,19970,5
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,19519,8
130388840342741,Danske Bank,Danske Bank,19443,5
167891603415958,Lederne,Lederne,19019,34
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",18366,13
59143726810,Psykiatrifonden,Psykiatrifonden,17729,32
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,17010,3
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,16582,13
154415494575789,IDA,IDA,15782,6
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,14861,21
200480966638039,Supremacy 1914,These ads ran without a disclaimer,14535,4
106656892420019,Planterig 6,Dansk Vegetarisk Forening - DVF,14213,2
110560691837684,SolCompagniet,SolCompagniet,13992,21
708245239243699,Dansk Beton,Dansk Beton,13691,15
287306323369,Børnecancerfonden,Børnecancerfonden,13061,4
110074700906511,Metin Lindved Aydin - Radikale Venstre,Metin Lindved Aydin,12876,6
167891603415958,Lederne,These ads ran without a disclaimer,12505,4
20303574131,Nationalmuseet,Nationalmuseet,12325,50
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,12237,15
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,11874,13
223040066022,Enhedslisten,Enhedslisten,11641,5
188067981214220,Forskningens Døgn,Uddannelses- og Forskningsministeriet,11636,4
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,11295,29
105511328705392,HØRT,Børns Vilkår,10966,18
107898832590939,European Commission,European Commission,10903,14
1704424023182897,Politiken Historie,Politiken Historie,10741,15
405892706501089,Med Israel for fred - MIFF Danmark,MIFF (Med Israel for fred),10377,2
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,10213,81
182121298931589,Odense Kommune,Odense Kommune,9954,10
314676938743,DM din akademiske fagforening,DM,9687,22
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,9280,20
852608988134698,Tikko,Tikko,9097,4
125934997444897,SuperBrugsen,Coop,8749,6
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,8243,28
320982581296484,TV 2 Play,TV 2 Danmark A/S,7512,1
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,7231,2
183887801641951,Verdens Skove,Verdens Skove,7003,4
227357657280228,Børnehjælpsdagen,Fonden Børnehjælpsdagen af 6. maj 1904,6937,19
529124290474705,Nikolaj Villumsen,Enhedslisten,6913,5
246097715413231,Alkohol & Samfund,Alkohol & Samfund,6622,11
1573441899601646,Hismile,These ads ran without a disclaimer,6418,1
224187210962818,FynBus,FynBus,6286,1
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,6239,3
657491824390744,Spring Copenhagen,Spring Copenhagen,6002,10
145392175531068,JydskeVestkysten,JydskeVestkysten,5874,7
167887506877,AIDS-Fondet,AIDS-Fondet,5840,5
147547541961576,Council of the European Union,Council of the European Union,5379,21
494902077334290,Tuborgfondet,Tuborgfondet,5150,7
63691965101,UNICEF Danmark,UNICEF Danmark,5000,2
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,4814,7
111561545539837,Krigsmuseet,Krigsmuseet,4723,3
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,4462,4
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,4347,56
645454495955240,Madmødet,Jan Michelsen,4262,41
106952222676974,Liberal Alliance,Liberal Alliance,4234,1
67571270393,Red Barnet,Red Barnet,3806,3
133716736641210,LandbrugsAvisen,LandbrugsAvisen,3797,25
1033120613483808,AURA,AURA,3647,4
186645960378,Danwatch,Danwatch,3456,26
141343589252160,Dansk Industri - DI,Dansk Industri,3446,5
363339517015011,Aabenraa Kommune,Aabenraa Kommune,3334,2
111095867334448,Rent Hav,Rent Øresund,3328,1
23488866416,Ateistisk Selskab,Ateistisk Selskab,3267,4
1684646181850363,TjekDet,TjekDet,3257,7
223861641419981,Master in Management of Technology - Aalborg University,These ads ran without a disclaimer,3122,1
671022293105597,Alex Vanopslagh,Alex Vanopslagh,3089,17
105004466262954,Frit Forum Århus,Frit Forum Århus,3000,2
36664432940,Amnesty International Danmark,Amnesty International Danmark,2982,8
217135424459,Karen Blixen Museum,Karen Blixen Museum,2763,34
101248435485457,Frihedsbrevet,Mediehuset Friheden,2751,5
336333896418452,Assens Kommune,Assens Kommune,2694,19
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,2693,5
144098125661833,Nordea Invest,Nordea Invest,2650,3
166984636671085,Dansk Metal,Dansk Metal,2574,10
367522986719919,Gastech-Energi,Gastech-Energi A/S,2546,3
437410226312057,Københavns Kommune,These ads ran without a disclaimer,2446,3
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,2380,20
12390252419,Region Nordjylland,Region Nordjylland,2343,4
194452460650048,Global Aktion,Global Aktion,2230,10
109440254274204,Sara Darling Jørgensen,SF,2139,12
123114457761430,Valby Lokaludvalg,Valby Lokaludvalg,2094,5
963623793690287,Ifö Danmark,These ads ran without a disclaimer,1945,1
550512865030230,Promissio,Promissio,1871,4
67571270393,Red Barnet,These ads ran without a disclaimer,1865,1
115450661486898,Landinspektørforeningen,These ads ran without a disclaimer,1814,4
1246666085407861,Karsten Hønge,SF,1714,4
161708011540,Mads Duedahl,Venstre i Nordjylland,1703,12
305932686202047,Caritas Danmark,Caritas Danmark,1685,2
1446381202351408,Føljeton,Føljeton,1673,4
297422283612612,TotalEnergies,TotalEnergies,1661,4
334571029981175,DM og MA studerende,DM,1547,7
356520931077196,Europabevægelsen,Europabevægelsen,1515,6
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),Danmarks Socialdemokratiske Ungdom,1513,2
299880716702992,KIU - Patientforeningen Kræft i underlivet,KIU - Patientforeningen Kræft i underlivet,1500,2
149388638416537,Riddersalen,Teatret Riddersalen,1490,2
28159151157,FOF København,FOF København,1461,2
1522666927799763,BCG in Denmark,Boston Consulting Group,1455,28
109261517088528,Fremstillingsindustrien,Marie Thorsø Kousgaard,1411,3
2319925761607995,Radio4,RADIO FM4 A/S,1402,28
107175722118248,TheNap - Den perfekte hovedpude,These ads ran without a disclaimer,1398,1
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,1351,14
416253895120951,HK Nordjylland,HK Nordjylland,1326,8
49348971479,Pia Olsen Dyhr,SF,1316,3
341299649231023,Zetland,Zetland,1307,3
1396986243876509,Anders Kronborg,Anders Kronborg,1280,6
529124290474705,Nikolaj Villumsen,These ads ran without a disclaimer,1273,2
447217575331947,Martin Lidegaard,Radikale Venstre,1225,2
459641371068935,Forenet Kredit,Forenet Kredit,1202,1
1450750935146684,Asger Christensen i EU,Christensen Asger Bank Møller,1200,3
156750397714790,AOF Danmark,AOF Danmark,1188,3
107321098977584,Elisa Rimpler,BUPL,1181,6
482001888858117,Vi udvikler Aarhus,These ads ran without a disclaimer,1158,1
102514162425194,Frederik Vad,Nielsen Frederik Vad,1150,5
243765466796,Vejle Kommune,Vejle Kommune,1147,5
229585537051606,DM Akademikerbladet,DM Akademikerbladet,1138,4
180519405977219,Frederiksværk Krisecenter,Frederiksværk Krisecenter,1085,4
106011385624734,Michael Rosenmark - kandidat for Danmarksdemokraterne,Michael Rosenmark,1081,5
159933657497144,Lars Møller Pedersen,Lars Pedersen,1039,6
103300074665238,Foreningen Atomkraft Ja Tak,Foreningen Atomkraft Ja Tak,1029,2
107305428114846,Anja Rosengreen,These ads ran without a disclaimer,1020,1
1724068710936501,Anja C Jensen,HK Danmark,1010,5
421631444601562,Christina Krzyrosiak Hansen,Christina Hansen,1000,2
366165650071333,Enhedslisten Køge,Rolskov Niels,1000,1
100825692030878,Sadek Al-Amood,Socialistisk Folkeparti,1000,1
520449347983427,Dansk Folkeparti,Dansk Folkeparti,994,12
179420709465,Venstre Mors,Venstre Mors,973,1
525293580838760,Silkeborg Kommune,Silkeborg Kommune,963,1
47703234827,Københavns Hovedbibliotek,Københavns Hovedbibliotek,957,2
116061635098137,Karina Lorentzen Dehnhardt,SF,900,3
575760076231543,Frihedsmuseet,These ads ran without a disclaimer,893,1
294264660289,DGI Storkøbenhavn,DGI Storkøbenhavn,889,4
126648500204,Enhedslisten Svendborg,Enhedslisten Svendborg,858,2
121874201204943,Atlas Magasin,These ads ran without a disclaimer,852,1
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,843,4
1417372171814283,3F Byggegruppen,3F Byggegruppen,841,2
239624940212,HK Kommunal,HK Kommunal,832,2
821686444837174,Billund Kommune,Billund Kommune,802,5
1060696937400942,Danske Fragtmænd,These ads ran without a disclaimer,796,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,796,4
272052943302453,LearnX,These ads ran without a disclaimer,749,2
101286428483346,Annette Blynel,SF - Socialistisk Folkeparti,733,5
359393357470755,Fælleskassen,These ads ran without a disclaimer,731,1
182121298931589,Odense Kommune,These ads ran without a disclaimer,723,1
294885907302040,AdResult - Vi skaber online resultater,AdResult ApS,723,5
122608528073978,Helge Larsen Investering og analyse,These ads ran without a disclaimer,717,1
1417938685172201,Anders Wolf Andresen - politiker,Andresen Anders Wolf,714,8
164564233593453,SF Hvidovre,SF Hvidovre,700,2
108273171366317,Moderaterne,Moderaterne,699,2
334571029981175,DM og MA studerende,These ads ran without a disclaimer,699,5
104396652511335,Danske frimærker,These ads ran without a disclaimer,679,1
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,644,1
129940943738051,Odense ser Rødt,Odense ser Rødt,641,6
108232155430828,Lawyer Jan,These ads ran without a disclaimer,620,114
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,619,2
192783424152018,Socialistisk Information,Leif Mikkelsen,618,6
103170447987623,Rosa Lykke Yde - SF,SF Randers,615,6
356590264357569,Palæstinaorientering,Ole Olsen,615,7
820070458166704,Nicolai Sandager - Liberal Alliance,Nicolai Sandager,600,2
106355174776321,Christian Budde,Christian Opstrup-Privat,600,2
29097589538,Årsskriftet Critique,Årsskriftet Critique,568,2
1691032761182415,DR LYD,These ads ran without a disclaimer,568,3
724792894340079,Henning Overgaard,3F,550,2
101442025614806,Chancellor,These ads ran without a disclaimer,547,3
170374349673146,Tænketanken Cevea,Tænketanken Cevea,535,5
360787567740895,Volt Danmark,Volt Danmark,524,1
128290633918652,Silba Copenhagen,Silba Copenhagen,519,2
261831270603185,Malernes Fagforening Midtjylland,Krumme Andersen,515,2
1817924258521386,Tina-Mia Eriksen,Eriksen Tina Mia,513,3
100773945785466,Jan Tambo Nye Borgerlige,Jan Tambo,512,3
112686836850002,"Socialdemokratiet BGS Broager, Gråsten, Sundeved.","Socialdemokratiet Broager, Gråsten & Sundeved",500,2
110482913766384,Martin Sikær,Martin Sikær,500,1
164593977049986,Enhedslisten Rebild,Ostergaard Rasmus Falck,500,1
254772934555970,Frit Forum Roskilde,Frit Forum Roskilde,500,1
221857051173376,Svanemærket,Miljømærkning Danmark,494,1
951508531558534,Elbilforeningen i Danmark,Elbilforeningen i Danmark,485,2
110916448497258,Module,These ads ran without a disclaimer,479,2
121790537991663,Anchers Havecenter,These ads ran without a disclaimer,478,3
177985135560560,Ultimaker,These ads ran without a disclaimer,470,2
288315184625473,Sulisitsisut - Grønlands Erhverv,Sulisitsisut - Grønlands Erhverv,455,5
1389899114583901,Enhedslisten Lejre,Nicki Bjørn Jensen,451,1
107575374711850,SAGA DK,Saga,449,1
127374293943963,HK HANDEL,HK Handel,439,1
36664432940,Amnesty International Danmark,These ads ran without a disclaimer,434,2
376060695861577,Politikens Forlag,These ads ran without a disclaimer,416,1
141140922630894,RED Center,RED Center,415,1
482695791907139,Danske Vandværker,Danske Vandværker,405,3
103068814945121,Mathias Holger Nielsen i Hjørring Byråd,Mathias Nielsen,404,8
118948271632865,Henrik Dahl,Henrik Dahl,400,1
2079502855459920,Charlotte Broman Mølbæk,SF,400,2
108086794971176,Innovationscenter for Økologisk Landbrug,Innovationscenter for Økologisk Landbrug,400,1
346547929246195,Birgitte Vind,Vind Birgitte,398,2
107913591629982,JP Horsens,These ads ran without a disclaimer,398,1
1614329662112109,Aarhus Omstiller,These ads ran without a disclaimer,382,2
171773016268040,Randers Naturcenter,These ads ran without a disclaimer,375,1
685285988322053,Nordic Transport A/S,These ads ran without a disclaimer,375,2
126648500204,Enhedslisten Svendborg,Kiel Jesper,360,2
1406362546104860,VKST,VKST,359,1
703543806324512,Vi-partiet,Larsen Thomas,354,5
116712725068628,Fredericia Maskinmesterskole,These ads ran without a disclaimer,354,1
1541220236121470,Katarina Ammitzbøll,Katarina Ammitzboell,353,2
1037138983037629,Hjem til Alle alliancen,Hjem til Alle,345,2
207401585966233,Inger Støjberg,Jacob Kjerumgaard,341,1
107865054704163,"Thomas Frisch, Konservative Allerød",Thomas Christian Frisch,340,2
52824116986,Testrup Højskole,Testrup Højskole,337,1
1604137966535143,Teater FÅR302,Teater FÅR302,337,2
134551146600666,Albertslund Kommune,These ads ran without a disclaimer,337,2
19176473894,IMS (International Media Support),IMS (International Media Support),332,6
178362315106,European Parliament,European Parliament,328,57
880444655649267,Rasmus Steenberger,Steenberger Rasmus Rune,325,3
213185957376123,JP Randers,These ads ran without a disclaimer,312,1
12458150929,Radikale Venstre,Radikale Venstre,307,1
322853351534278,Os Om Havet,Os Om Havet,307,1
100913339248794,"Alt det vi ikke siger højt, plus det løse - af Kristina Klindt","Alt det vi ikke siger højt, plus det løse - af Kristina Klindt",300,1
340621956038178,Henrik Sørensen - Det Konservative Folkeparti,Henrik Michael Borsholm Sørensen,300,2
1572480919696502,Red Barnet Middelfart Lokalforening,Mette Genz,300,1
180026862906365,FrokostDebatten,Andersen Mikkel Zøllner,300,1
278077812793440,Den Grønne Ungdomsbevægelse,Den Grønne Studenterbevægelse,300,1
280046142277,SIND - Landsforeningen for psykisk sundhed,SIND - Landsforeningen for psykisk sundhed,300,1
200765843356728,REO,Ren Energioplysning,300,2
134531969945616,Folkebevægelsen mod EU,Folkebevægelsen mod EU,283,1
1988396728052020,Enhedslisten Roskilde,Skovrind Åge Martin,280,1
1220981994590364,FT Partner Content,These ads ran without a disclaimer,268,10
137990456269928,Ole Jakobsen - den utraditionelle,Ole Jakobsen,259,3
2261257587490849,Stecks fliserens,These ads ran without a disclaimer,256,1
98673036962,ROLDA,These ads ran without a disclaimer,253,15
106289989124233,Verdenspressen,Morten Berle Hammeken,250,1
64344083041,Enhedslisten Aalborg,Enhedslisten Aalborg,250,1
1017666944935541,Venstre Gladsaxe,Venstre Gladsaxe,250,2
136177706424458,Blik- og Rørarbejderforbundet,Kiki Jano Nielsen,250,1
162788300598203,Enhedslisten Lyngby,Enhedslisten Lyngby,249,2
1507997959501973,Landbrug & Fødevarer,These ads ran without a disclaimer,248,3
1502143003413219,Ringsted Kommune,These ads ran without a disclaimer,243,1
1708794009385812,Randers Arkitekten,Morten Storgaard,240,1
7783116506,Animals Asia,These ads ran without a disclaimer,240,7
101875815016312,Caroline Victoria Christensen,Caroline Victoria Christensen,236,2
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,234,1
103692315110627,Organsk,These ads ran without a disclaimer,229,2
314301147507,Astma-Allergi Danmark,Astma-Allergi Danmark,224,3
102196911847047,Lars Green Bach,Lars Green Bach,219,2
310714677736,Dansk Arkitektur Center - DAC,These ads ran without a disclaimer,216,1
108553734796464,Oplevelser i Hovedstaden,These ads ran without a disclaimer,211,2
100454262804823,Fyns Familielandbrug,Fyns Familielandbrug,210,1
105319354656140,Jens-Frederik Nielsen,Jens-Frederik Nielsen,210,4
162913866649,idenyt,These ads ran without a disclaimer,209,1
149388638416537,Riddersalen,These ads ran without a disclaimer,208,1
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,203,4
390925417751473,Erling Bonnesen,Erling Bonnesen,200,1
415341115213431,Intact Denmark - Forening mod omskæring af børn,Intact Denmark - Forening mod omskæring af børn,200,1
105723258303685,Enhedslisten Fanø,Enhedslisten Fanø,200,1
100445466003316,Sofie F. Villadsen,Sofie Falck Villadsen,200,1
126649544104126,SF i Randers,SF Randers,200,1
168572049946266,Venstre i Vesthimmerland,Venstre i Vesthimmerland,200,1
1955595914671223,Sebastian Kaimson,Sebastian Joubert Kaimson,200,1
111676898052590,Fredensborg Folkeuniversitet,Fredensborg Folkeuniversitet,200,1
283125781816371,FOA Nordjylland,FOA Nordjylland,200,1
1695276023875912,Astrid Søborg,Venstre Gladsaxe,200,3
400086820062197,KU.BE,These ads ran without a disclaimer,200,1
915465915145907,ALDE Partiet-  Individuelt Medlemskab i Danmark,Pedersen Rene Birger,200,3
101028235491379,Malene Sandfeld KV21 Frederiksberg,Malene R Sandfeld,200,2
568808986474327,SF Sønderborg,SF Sønderborg,199,1
125755924132043,Socialdemokratiet i Gladsaxe,Andersen Henrik,196,1
328986437687425,Ensemble Pluma,These ads ran without a disclaimer,194,1
120717044312926,whilewebleed,These ads ran without a disclaimer,192,1
100700698043032,Simon Østergaard,Simon Østergaard,188,2
230515182048,Aalborg Teater,These ads ran without a disclaimer,185,2
179055085459828,VandCenter Syd,These ads ran without a disclaimer,185,1
323150831629817,𝙼𝚘𝚛𝚝𝚎𝚗 𝚁𝚘𝚌𝚔𝚏𝚘𝚛𝚍 𝚁𝚊𝚟𝚗,These ads ran without a disclaimer,182,1
916493995066843,Ballerup Kommune,Ballerup Kommune,181,1
103833175171723,"Heidi Boss Nyby, Konservativ Byrådsmedlem, Fredensborg Kommune",Heidi Nyby,180,1
1788005264810051,Organisationen Danske Museer,Organisationen Danske Museer,180,1
1656501457909664,Klima- og Energigruppen Stevns,Klima- og Energigruppen Stevns,178,1
169223023097339,Liberal Alliance Skanderborg,Linda Christie Andrea,177,1
1799011450368670,Ungdommens Demokratihus,These ads ran without a disclaimer,174,4
104023927005,NRGi,Maria Thomsen,173,1
214251645724973,Det Kongelige Akademi - Efter- og videreuddannelse,These ads ran without a disclaimer,171,1
1799011450368670,Ungdommens Demokratihus,Ungdommens Demokratihus,170,2
100553324882964,Theresa Berg Andersen,Theresa Berg,170,3
117859671570984,Marius Øltapper,These ads ran without a disclaimer,169,1
118797451195818,macarons_design,These ads ran without a disclaimer,167,1
104229188003573,Dan Kornbek Christiansen,Det Konservative Folkeparti i Glostrup,165,3
322994567911233,Finn Nørgaard Foreningen,These ads ran without a disclaimer,162,1
106582697719101,Peter Larsen,Peter Larsen,160,1
275313749252200,Jacob Isøe Klærke - SF,Jacob Isøe Klærke,159,1
74796954245,SF,SF,158,2
256307084400958,Vibrant Hearts v/Stellah Søgård,These ads ran without a disclaimer,156,1
573106029493991,Marie-Louise Jørgensen SF,Jørgensen Marie-Louise Peschardt,153,1
165535500145780,Hillerød Bibliotek,Hillerød Bibliotekerne,149,1
950437221654958,Socialdemokratiet i Struer Kommune,Socialdemokratiet i Struer Kommune,144,3
1282577791766364,Kirsten Normann Andersen,SF,142,2
734748806730771,Husumvold Kirke,These ads ran without a disclaimer,140,1
1222321351208863,Klaus Sandfeld,Klaus Jbw Sandfeld,140,1
745999418897542,Europæisk Ungdom Fyn,Elvin Zarrinfar,134,1
216402818434101,Mission Øst,Mission Øst,134,6
180519405977219,Frederiksværk Krisecenter,These ads ran without a disclaimer,133,1
102472071927163,Simon Bauer,Simon Bauer,132,2
132619697171647,Carsten Sørensen - Dansk Folkeparti i Region Syddanmark,Carsten Sørensen,130,1
100387002283487,Iben Busch - Konservative Bornholm,Iben Busch,130,1
588679974556626,SF FAXE,SF Faxe,130,1
674034729594774,Nikolaj Bøgh,Nikolaj Bøgh,130,1
106050211691902,Allan Beier,Allan Bilgaard Beier,126,3
139239926563404,Pele Broberg,Naleraq,121,1
475170839240887,Diakonissestiftelsen,These ads ran without a disclaimer,119,1
101851515470757,Bauknecht Danmark,These ads ran without a disclaimer,118,1
155596147784577,WWF Verdensnaturfonden,These ads ran without a disclaimer,115,1
100588538904188,Kim Andkjær Doberck Nye Borgerlige,Kim Doberck,115,1
102121579296432,Allcsta time,These ads ran without a disclaimer,115,73
111045511211227,Herboxa,These ads ran without a disclaimer,115,1
107853282035931,Susie Jessen - Danmarksdemokraterne,Susie Janet Jessen,115,1
132475217441703,Offentlig administrationsjob - Jobportalen Ofir.dk,These ads ran without a disclaimer,114,2
257480614286065,Den Sorte Diamant - Det Kgl. Bibliotek,These ads ran without a disclaimer,111,1
103087126011989,okolariet_vejle,These ads ran without a disclaimer,108,1
112265080144547,Overlægeforeningen,Lisbeth Dahl,108,1
26531882197,Peter Westermann,Westermann Peter,107,2
652604238684755,Miljø- og energifonden af 2005,These ads ran without a disclaimer,104,1
351924618157744,M/S Museet for Søfart,These ads ran without a disclaimer,101,2
144965885963,Oxfam IBIS - Sammen mod ulighed,These ads ran without a disclaimer,101,2
398144900313793,"Mads Præstegaard, SF Roskilde Byråd",SF Roskilde,≤100,1
106839091345821,Christopher Røhl,Christopher Røhl,≤100,1
322117934560128,Mikael Wandel,Mikael Wandel,≤100,1
245844092182498,Enhedslisten Rudersdal,Christoffer Emil Jexen,≤100,1
156993437653924,Ungdomsringen,Ungdomsringen,≤100,1
350212595109738,Venstre Struer,Venstre Struer Kommune,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
297422283612612,TotalEnergies,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
118722921482452,Paul Mitchell Denmark,These ads ran without a disclaimer,≤100,1
268846869805884,Forbundet Kultur og Information,These ads ran without a disclaimer,≤100,1
140222686868,MC-REJSER,These ads ran without a disclaimer,≤100,1
420418408698637,Den Grønne Ungdomsbevægelse Aalborg,These ads ran without a disclaimer,≤100,1
638113892944657,Jan Bigum Warming,Jan Warming,≤100,1
1738395909758964,UNESCO Danmark,These ads ran without a disclaimer,≤100,1
106066181223394,Anders Medum Groth,Anders Medum Groth,≤100,1
283258882114222,Peter Wagner Mollerup - Byrådsmedlem i Nyborg kommune,Peter Mollerup,≤100,2
102921128233450,KD - Aarhus Kommune,Frank Engdal,≤100,1
106036798614,Christian Johnson - Konservativt Byrådsmedlem i Mariagerfjord,Christian Johnson,≤100,1
1860213407547044,Egernsund Wienerberger A/S,These ads ran without a disclaimer,≤100,3
58922745689,Lokallisten i Rudersdal,Lokallisten i Rudersdal,≤100,1
12185972707,350.org,These ads ran without a disclaimer,≤100,1
808135809280401,historiskerejser.dk,Anders Bager Eriksen,≤100,2
101196986304945,tidloes_historie_,These ads ran without a disclaimer,≤100,1
293266234170207,Line Krogh Lay - politik,Lay Line Krogh,≤100,1
1664683963775590,Milly Nou,These ads ran without a disclaimer,≤100,1
132271039718,Økolariet,These ads ran without a disclaimer,≤100,1
472848442798724,Socialdemokratiet i Ringkøbing-Skjern,Per  Stefansen,≤100,1
1573349312916806,Danmarks Naturfredningsforening Favrskov,These ads ran without a disclaimer,≤100,2
100493784938009,Danske Æg,These ads ran without a disclaimer,≤100,1
153640394698032,Roskilde Kommune,Roskilde Kommune,≤100,1
107237888124833,Vy Oanh Authentic - Túi xách cao cấp uy tín,These ads ran without a disclaimer,≤100,5
349254621827626,Dansk Skovforening,These ads ran without a disclaimer,≤100,1
500728576802465,Advokat Reinwald,These ads ran without a disclaimer,≤100,1
113044112697244,Lone Glarbo - Danmarksdemokraterne - Østjylland,Lone Glarbo,≤100,1
106337644874773,"Birgitte Sørensen, Vesthimmerland",Birgitte Sørensen,≤100,3
506555069410797,Det Konservative Folkeparti i Næstved,Det Konservative Folkeparti i Næstved,≤100,1
136049273765394,Ritter Sport,These ads ran without a disclaimer,≤100,4
103032832074969,Din Lønpartner,These ads ran without a disclaimer,≤100,2
501413603534541,Bevar Ukraine,These ads ran without a disclaimer,≤100,1
1823610164628295,Sebastian Nielsen i Kerteminde Byråd,Sebastian Nielsen,≤100,1
155518674479703,UNF Aarhus,These ads ran without a disclaimer,≤100,1
67290408185,Trine Mach,Trine Pertou Mach,≤100,1
110217591284478,Green Innovation Makers,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
129940943738051,Odense ser Rødt,These ads ran without a disclaimer,≤100,1
229741813827540,KUNSTHAL AARHUS,These ads ran without a disclaimer,≤100,2
112617303984751,Jan Beck-Nielsen - Silkeborg byråd.,Jan Beck-Nielsen,≤100,1
1034947173308476,Polly Dutschke,Polly Dutschke,≤100,1
111387662905067,Torben Martinsen,Torben Martinsen,≤100,1
174436446307338,ARTLAND,These ads ran without a disclaimer,≤100,1
112588242095660,XTZ Sweden,These ads ran without a disclaimer,≤100,2
105799458603318,mc_aalborg_cake,These ads ran without a disclaimer,≤100,1
96064732850,ARoS Aarhus Art Museum,These ads ran without a disclaimer,≤100,1
629353783794919,Topsoe A/S,These ads ran without a disclaimer,≤100,3
111210480291603,European Youth International,European Youth International,≤100,2
