Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
426502237384307,מפלגת יש עתיד,מפלגת יש עתיד,6179,4
2249582785307318,"עו""ד עמית בכר, ראש לשכת עורכי הדין","עו""ד עמית בכר, ראש לשכת עורכי הדין",6100,10
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,6031,13
200480966638039,Supremacy 1914,These ads ran without a disclaimer,5922,2
189208555041327,המיזם למיגור העישון,המיזם למיגור העישון בישראל,5904,18
103793039307889,נתי לרנר לראשות מועצת יואב,נתי לרנר לראשות מועצת יואב,5746,83
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,5680,16
141721971504,Histadrut - ההסתדרות החדשה,Ricki Bar,5654,14
103624452596775,קידר פינגולד - לראשות המועצה האזורית יואב,יוניק מדיה,5568,15
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,5514,16
213801788683219,עיריית ראש העין,עיריית ראש העין,5508,16
103428925850338,אבי סלמה - נתניה,Avi Slama,5197,11
206692749419285,עיריית ראשון לציון,Debby&Ron LTD,5179,4
158772587496204,מנוי פיס - מפעל הפיס,These ads ran without a disclaimer,5176,31
160175817353648,האקדח על שולחן המטבח,האקדח על שולחן המטבח,5140,13
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,5094,23
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",5086,20
1616620351898508,Адвокат Варша • Иммиграция • Рабочая виза в Израиле • Воссоединение семьи,"משרד עו""ד תומר ורשה",5029,20
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",5004,15
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,4882,8
114630296604026,"Davar - Workers, Society and Economy in Israel",דבר העובדים בארץ ישראל,4750,19
114190047078119,היוזמה לצמצום הסכסוך,היוזמה לצמצום הסכסוך,4657,4
112210295510027,World Zionist Organization - ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,4633,11
106895605678077,מחאת המילואימניקים,מילואימניקים,4449,26
161648040544835,יצחק הרצוג - Isaac Herzog,יצחק הרצוג - Isaac Herzog,4393,5
361464970647064,זהר בלום,זהר בלום,4354,11
468634849844348,עיריית אור יהודה,עיריית אור יהודה,4250,12
107926607591864,זוּלת - לשוויון וזכויות אדם,זוּלת - לשוויון וזכויות אדם,4224,30
1297864346957853,האחים שלנו,האחים שלנו,4181,15
401687276639883,רז קינסטליך - ראש עיריית ראשון לציון,רז קינסטליך - ראש עיריית ראשון לציון,4100,4
166981530486600,המכון למדיניות העם היהודי - The Jewish People Policy Institute,The Jewish People Policy Institute,3997,11
343675698989847,חברת החשמל לישראל Israel Electric Corporation,"חברת החשמל לישראל בע""מ",3907,8
109970322392972,מפלגת הליכוד,מפלגת הליכוד,3891,2
192120617854,Aeroflex - אירופלקס,These ads ran without a disclaimer,3833,2
452342168247343,יוחנן פלסנר - Yohanan Plesner,המכון הישראלי לדמוקרטיה,3761,17
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,3755,9
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,3748,4
877405719007268,מכון ארגמן ללימודים שמרניים,מכון ארגמן,3697,27
143563882388180,עיריית אשקלון,עיריית אשקלון,3629,15
150003831696805,Tsofen  تسوفن   צופן,Tsofen تسوفن צופן,3597,18
1954699454767994,שי זולדן - Shay Zoldan,שי זולדן,3590,24
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,WAC-MAAN,3589,30
251119721945461,אופיר סופר - Ofir Sofer,אופיר סופר - Ofir Sofer,3571,19
649373828424341,Moshe Lion - משה ליאון,Moshe Lion - משה ליאון,3517,20
1662907067255622,איגוד הגז הטבעי,Unik,3445,6
168898066479983,עיריית עכו,עיריית עכו,3432,20
810904589094226,צביקה ברוט - Tzvika Brot,צביקה ברוט - Tzvika Brot,3342,17
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,3313,26
546024288762312,"ד""ר יחיאל לסרי","ד""ר יחיאל לסרי",3296,27
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,3290,9
723141737847411,ראובן לדיאנסקי,ראובן לדיאנסקי,3247,16
1633801720194315,מועצה מקומית פרדס חנה כרכור,מועצה מקומית פרדס חנה כרכור,3238,25
534335679927121,מועצה אזורית עמק חפר,מועצה אזורית עמק חפר,3188,8
870129976377104,הנהגת ההורים הארצית,דרור יהב,3175,4
2397304340492953,מטה הבטיחות בענף הבנייה,הקרן לעידוד ולפיתוח ענף הבנייה,3121,3
358391697641207,מחוז דרום - לשכת עורכי הדין,מחוז דרום - לשכת עורכי הדין,3101,18
389004391219079,אלון דוידי - Alon Davidi,עיריית שדרות,3100,8
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,3076,28
100150135880863,תכלית - המכון למדיניות ישראלית,Tachlith,3042,14
172002696179214,דודו קוכמן לראשות המועצה האזורית יואב,דודו קוכמן,3017,9
1822651321364643,121 - מנוע לשינוי חברתי,121 - מנוע לשינוי חברתי,2954,37
220045128798930,"עו""ד ידידיה בלומהוף - תביעות משרד הביטחון",משרד עורכי דין ידידיה בלומהוף,2954,16
488525557859306,המרכז למדיניות הגירה ישראלית - Israeli Immigration Policy Center,המרכז למדיניות הגירה ישראלית - Israeli Immigration Policy Center,2900,13
160178307760913,מחזקים,מחזקים,2879,9
107271768812957,Q4Israel - הרבעון הרביעי,Q4Israel - הרבעון הרביעי,2833,8
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa,2816,4
221429664638160,קדמה,קדמה,2781,7
117621584537422,"עו""ד ניסן זכריה לראשות העיר חולון",ניסן זכריה,2753,8
109708842392860,מרכז השלטון המקומי בישראל,מרכז השלטון המקומי בישראל,2750,4
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,2723,9
340069009019,ice אייס,ice אייס,2692,79
1824323844461002,יקיר שינדלר,יקיר שינדלר,2686,10
199381213757428,שי קינן - shai keinan,Erez Yaffe,2685,5
2145340712350945,נעמה לזימי - Naama Lazimi,נעמה לזימי - Naama Lazimi,2629,15
124333777706475,עיריית רמלה,עיריית רמלה - העמוד הרשמי,2626,20
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ,2594,12
100185971057,מכון משגב לאסטרטגיה ציונית ולביטחון לאומי,מכון משגב לאסטרטגיה ציונית ולביטחון לאומי,2591,10
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,2562,3
1034509719896684,המכון החרדי למחקרי מדיניות,מכון החרדי למחקרי מדיניות,2514,10
501178966564217,פורום קהלת Kohelet Forum,פורום קהלת Kohelet Forum,2509,8
676336439165235,קרן משפחת רודרמן: יחסי ישראל-יהדות ארצות הברית,קרן משפחת רודרמן: יחסי ישראל-יהדות ארצות הברית,2452,14
151429721541665,Dan Illouz -  דן אילוז,Dan Illouz -  דן אילוז,2422,25
846516645391265,ולדימיר בליאק - Vladimir Beliak,Vladimir Beliak,2416,9
1395918227341473,עיריית חדרה,עיריית חדרה,2400,3
207175656718749,אביהו האן לראשות עיריית חיפה,אביהו האן לראשות עיריית חיפה,2392,3
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,2387,7
548633762006156,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,2375,15
1694881230559425,אבירם דהרי - ראש העיר,Liran Tal,2350,4
103979465980614,מתווה העם,מתווה העם,2347,10
100570949591846,שניר פרידמן - לראשות מועצה אזורית הגלבוע,שניר פרידמן,2290,10
280542409315,יד יצחק בן-צבי,יד יצחק בן-צבי,2246,17
704953553224965,Вопросы гражданства и статуса в Израиле. Адвокат Александр Френкель,Alexander Adv,2159,2
100585238528895,לובי המיליון,One Million Lobby לובי המיליון,2124,11
304921469636475,סיכוי-אופוק سيكوي-أفق,עמותת סיכוי-אופוק,2123,56
197861515565,שתיל - شتيل - Shatil,שתיל - Shatil,2112,28
347519992380551,אביעד סיני לראשות מועצת פרדס חנה כרכור,אביעד סיני לראשות מועצת פרדס חנה כרכור,2100,9
387662485168743,LPY הוצאת אזרחות פולנית,LPY הוצאת אזרחות פולנית,2093,9
100978407934166,תנועה ישראלית,Israeli Movement,2092,56
104015018553973,The Genesis Prize - פרס בראשית,Genesis Prize Foundation,2069,14
171506896314198,מיטל להבי - Meital Lehavi,מיטל להבי - Meital Lehavi,2049,27
670447859788515,יניב דרי - מחוברים לתושב,Yaniv Derry,2048,10
1619338854980208,יוסי דגן,המועצה האיזורית שומרון,2034,11
502039876516834,משרד המשפטים,משרד המשפטים,2000,1
94762908662,נעמת - תנועת הנשים של ישראל,נעמת | Women @ Work,1991,34
790149967713981,דרכנו,דרכנו,1938,12
203904547191078,הארגז,These ads ran without a disclaimer,1934,15
544585708962925,עיריית לוד,עיריית לוד,1907,10
161096657252221,שוברים שתיקה,שוברים שתיקה,1889,8
104783631865965,תלם,קרן ברל כצנלסון,1871,38
425125127838975,צריך עיון,iyun,1871,19
102668075081968,"Фонд премии ""Генезис""","Фонд премии ""Генезис""",1834,9
122151567825903,ארגון בטרם לבטיחות ילדים,ארגון בטרם לבטיחות ילדים,1833,17
979469898759509,יוסי חביליו - Yosi Havilio,יוסי חביליו - Yosi Havilio,1827,15
198917210119704,שלום עכשיו,שלום עכשיו,1814,13
401082636658821,איגוד ערים לאיכות הסביבה שרון - כרמל,איגוד ערים שרון כרמל,1804,4
308048836418327,סיעת הילה שלם והתושבים - קרית אתא,סיעת הילה שלם והתושבים - קרית אתא,1792,6
403470203161681,"קרן רש""י - Rashi Foundation","קרן רש""י לצמצום פערים חברתיים",1787,12
2024383551205478,אלדד בר כוכבא,אלדד בר כוכבא,1757,2
243941715737870,אורית סטרוק- orit strouk,אורית סטרוק,1750,9
2036461326389031,Nir A. Cohen,Nir A. Cohen,1746,9
1372218169585611,"איתי מתיתיהו - סגן ראש עיריית ראשון לציון, מחזיק תיק הצעירים והנוער",Itay Matityahu,1725,7
124894077550811,ישראל חופשית,ישראל חופשית,1723,6
100335426018116,Gloria shopping,These ads ran without a disclaimer,1691,1
103046652412733,דולב אטיאס - Dolev atias,דולב אטיאס - Dolev atias,1688,58
112081888435562,Эли Ярив,Эли Ярив,1684,13
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,1677,12
1029616787159895,יהודה דואה - הבחירה הנכונה לראשות המועצה,Yehuda Dua,1660,6
192541507907086,פרשקובסקי,These ads ran without a disclaimer,1656,4
100663859328863,עופרי סיידה,עופרי סיידה,1629,10
154698021323966,יוזמות אברהם  مبادرات  ابراهيم,יוזמות אברהם مبادرات ابراهيم,1629,5
248723598607259,ארגון בזכות,Bizchut,1624,26
139320722917886,מרכז יצחק רבין,מרכז יצחק רבין,1608,15
136456246407342,לשכת סוכני ביטוח,Tal Sanderoni,1598,38
632806616739261,איציק רוכברגר 2023,איציק רוכברגר 2023,1598,5
554308731366675,محامون من أجل إدارة سليمة - Lawyers for Good Governance,lawyers for good governance,1588,39
102870845957500,ערן ורדון לראשות המועצה האזורית יואב,ערן ורדון לראשות המועצה האזורית יואב,1587,20
106683774070265,Gal Marciano,Gal Marciano,1542,3
1678753882355496,איגוד העובדות והעובדים הסוציאליים,איגוד העובדות והעובדים הסוציאליים,1531,5
104383949185600,יעקב מזרחי - Jakob Mizrahi,יעקב מזרחי,1526,6
102684482764860,داني عطار لرئاسة المجلس الإقليمي جلبوع,Daniel Atar,1522,6
431367200941854,מיכל שיר - Michal Shir,מיכל שיר - Michal Shir,1519,3
224993517556428,Da'am Party - מפלגת דעם - حزب دعم,Da'am Party - מפלגת דעם - حزب دعم,1510,11
591336644556900,יגאל וינברגר - Igal Winbereger,יגאל וינברגר - Igal Winbereger,1509,16
311390516402185,מפלגת כחול לבן,מפלגת כחול לבן,1485,5
1230703323658792,מרכזים לצדק חברתי,מרכזים לצדק חברתי,1470,25
250947744954005,התנועה הקיבוצית,התנועה הקיבוצית,1442,15
133593466685177,העין השביעית,העין השביעית,1440,3
189543984502825,משה קונינסקי,משה קונינסקי,1431,5
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,1400,4
1040192852853323,منصور عباس - Mansour Abbas,منصور عباس - Mansour Abbas,1400,4
106291042155217,الصفحه الرسمية للمرشح عدنان عيسى لرئاسة بلدية كفر قاسم 2023,Adnan Issa,1381,7
501512673192146,Авигдор Либерман,ישראל ביתנו,1380,8
172680759548006,האקדמית רמת-גן,המכללה האקדמית רמת גן,1376,2
100160129076368,רפי סער - ראש העיר כפר סבא,רפי סער - ראש העיר כפר סבא,1374,7
103183301914371,כוח של אמא,Nataly Milner,1367,7
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלמה לחיאני,1347,5
105585242501829,הסיפור המשותף,Unik,1346,18
104728241521436,האגודה לתרבות הדיור,האגודה לתרבות הדיור,1342,12
251040535229741,יאיר צברי - Yair Zabari,יאיר צברי - Yair Zabari,1337,2
113065595006048,ענת כינורי לראשות העיר חולון 2023,ענת כינורי לראשות העיר חולון 2023,1335,7
114423103807949,פורום העצמאים,פורום העצמאים בהסתדרות,1262,8
101357059349047,אמא חטובה בשיטה הלפטינית,These ads ran without a disclaimer,1260,2
299400893458808,המכון הדמוקרטי,המכון הדמוקרטי - חברה וחינוך,1250,3
128834187134576,Ahmad Tibi احمد طيبي,Ahmad Tibi احمد طيبي,1245,3
147314178787332,אלי יריב - Eli Yariv,אלי יריב,1202,7
116726184624195,Партия Ноам,מפלגת נעם,1200,8
1419380035018737,אביחי בוארון,אביחי בוארון,1200,2
153991671307861,אישה לאישה - למען נשים נפגעות אלימות וילדיהן,אישה לאישה - למען נשים נפגעות אלימות וילדיהן,1194,18
100364191595090,הדסה - המרכז הרפואי של סוכני הביטוח,בית חולים הדסה,1174,10
2087629251480875,רונן מרלי - Ronen Marelly,רונן מרלי - Ronen Marelly,1166,4
128753804569169,"עו""ד רחל פרץ גלם","עו""ד רחל פרץ גלם",1158,10
103069056049581,שלום ישראל אלבז- shalom israel elbaz,Shalom Elbaz,1157,19
100333626297666,هآرتس بالعربي,Orly Dumitrescu,1146,12
240626859400146,Gilad Kariv - גלעד קריב,Gilad Kariv - גלעד קריב,1118,16
2024003551147460,החופש לבחור - בראשות איל פביאן,Eyal Fabian,1115,10
493870400705407,"ד""ר אלי לחמני","ד""ר אלי לחמני",1113,8
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי,1108,10
107110828789769,רוני בריק,רוני בריק,1103,4
756869797682674,Свободный Израиль,Свободный Израиль,1097,4
100849682799685,Just together,Omri Saada,1079,10
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,These ads ran without a disclaimer,1075,4
370270343005611,ישראל ביתנו,ישראל ביתנו,1075,5
107570621520073,אמיר ווסקו לראשות העיר קריית ים,Amir Voskoboinik,1074,5
111912221330671,מי שבעד ירים את היד,מי שבעד ירים את היד,1073,9
113605434994253,דודו כהן לראשות עיריית טירת כרמל,כד למועצת העיר טירת הכרמל,1062,2
412916482543700,שוקי אוחנה Shuki Ohana,שוקי אוחנה,1061,2
110897178941008,מרכז אדוה,מרכז אדוה,1060,5
610994792373739,ירון לוי - Yaron Levi,Yaron Levi,1054,8
1828669360700280,דרך שירה בנקי - shira banki's way,Shira Banki's way,1054,13
114543286929553,אירועי תרבות בספרייה הלאומית,הספריה הלאומית,1054,3
205153712969285,מרצ רמת גן,מרצ רמת גן,1050,6
106325622347502,אלחנן שורץ לראשות מועצה אזורית חוף הכרמל,Elhanan Schwartz,1040,3
112910535448250,תנועת רגבים,תנועת רגבים,1029,7
191738340912361,Taub Center - מרכז טאוב,מרכז טאוב לחקר המדיניות החברתית בישראל,1004,4
717156685055452,תנופה בקהילה-Tenufa Bakehila,תנופה בקהילה,1000,1
622545034511462,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,1000,2
1527767014131371,עקבות Akevot,עקבות Akevot,1000,1
100255059520803,שאמה 38,רמת גנים בעד רמת גן,1000,1
101189288896863,לבבי - דפיברילטור להצלת חיים מדום לב בבית,לבבי,997,2
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,997,4
108815978739436,רמי יוסף יחד ננצח,Neria Yosef,986,14
163213311020271,רונן סלטון לראשות המועצה,Ilan Yehezkel,969,18
533100153535400,الهستدروت الجديدة,الهستدروت الجديدة,968,3
179034435458425,פנאי העיר חדרה,פנאי העיר חדרה,963,18
113789568181754,איציק דנינו - ראש העיר שלי,איציק דנינו,955,7
147748795257795,אחריי,אחריי,941,4
1477479039147346,شريف زعبي,شريف زعبي,939,2
574030775948002,Ohr Torah Stone - אור תורה סטון,Ohr Torah Stone - אור תורה סטון,934,10
2051373538305014,"קרן שח""ף","קרן שח""ף",930,6
107476928307805,אשדודי - יש לנו חדשות בשבילך,אשדודי,910,2
119823604371240,גיל לין. הר ועמק מתעוררים,גיל לין - הר ועמק מתעוררים,906,8
102875512730840,רון קוגמן - Ron Kogman,Ron Kogman,902,5
655074111504644,تاغ ميئير: أمل، لا إرهاب,تاغ ميئير: أمل، لا إرهاب,900,3
513695272011123,The Genesis Prize,Genesis Prize Foundation,900,1
104984005680662,משמר הראיסים,משמר הראיסים מאת דוד סוויסה,898,2
109913515759452,Bokra Net بُــــكرا,Bokra Net بُــــكرا,897,47
227073477334754,אופיר שפיגל - יחסי ציבור,אופיר שפיגל תקשורת וקשרי ממשל,897,7
155237077282,מגמה ירוקה - Green Course,מגמה ירוקה - Green Course,895,4
101545285387643,Beegreen ביגרין  - קירות ירוקים,Haim Dilaroza,895,9
502582240109636,שומרי הבית,שומרי הבית,892,8
130962657731776,"רו""ח ועו""ד נמרוד רטנר",Asaf Yaish Biton,867,4
1508923232754893,מועצה אזורית שומרון,מועצה אזורית שומרון,861,8
119925112062377,חדשות האנרגיה הירוקה,Eitan Parnass,851,4
222479034969365,אדיר נעמן ראש מועצה אזורית שפיר,אדיר נעמן ראש מועצה אזורית שפיר,833,5
109242871232111,מתן בארי,Matan Beer'i,831,7
975710572458134,عايدة توما-سليمان עאידה תומא-סלימאן,عايدة توما-سليمان עאידה תומא-סלימאן,828,5
106801758928583,המזרח התיכון - סיקור כלי התקשורת במדינות האסלאם,Danel Salim,821,2
107864540916006,אורן סרויה,אורן סרויה,820,5
1073460539346074,אלון שוסטר - Alon Schuster,מפלגת כחול לבן,818,4
108988678714619,בית הציונות הדתית,בית הציונות הדתית,813,6
115286055016,Life & Environment - חיים וסביבה,Life & Environment,809,8
101246934875099,Shofar,These ads ran without a disclaimer,800,2
994811120638154,כרם נבות كرم نابوت,כרם נבות كرم نابوت,795,12
102177322862795,לתרום ולא לשכוח - למענם,Kfir Vinograd,787,9
174270389949755,ישראל גנץ - Israel Ganz,מועצת בנימין,774,3
284842737603,Yesh Din  ييش دين  יש דין,יש דין ארגון מתנדבים לזכויות אדם,755,6
914741188600735,עומדים ביחד نقف معًا,עומדים ביחד نقف معًا,753,12
205264926753225,רוני בלקין Roni Belkin,רוני בלקין,751,7
111208487103781,ריבונות עכשיו -Ribonut Now,ריבונות עכשיו -Ribonut Now,750,2
219292404944900,אביב איטח Aviv Itach,Aviv Itach,735,2
298350000726503,רחלי כדורי לראשות מועצת אורנית,רחלי כדורי,728,5
512355185513534,ראש העיר מיכאל וידל,מיכאל וידל - הדף הרשמי,727,5
1386944364921067,עשרת ימי תודה,בית פרת - מדרשה ישראלית,723,4
1039798576114473,WazCam - موقع وتطبيق وازكام,wazcam lt.d,720,3
213683622308164,עמיחי בן שלוש - Amihai Ben Shlush,עמיחי בן שלוש - Amihai Ben Shlush,719,8
115755304767435,"ח""כ אושר שקלים - MK Osher Shkalim",Adi Arkin,715,8
734980876854034,אלעד דנוך - Elad Danoch,Elad Danoch,710,3
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,709,7
558702227875758,רוני רימון,רוני רימון,704,2
106378097990998,לשכת מומחי שכר בישראל,לשכת מומחי שכר בישראל,700,2
548104018590078,נועם ששון - Noam Sasson,Noam Sasson,699,7
106836891775374,אסנת ספורטה - Osnat Saporta,אסנת ספורטה - Osnat Saporta,692,8
662721113760589,TheMarker Labels,These ads ran without a disclaimer,684,7
114433028268482,נביו אבבה,נביו אבבה,681,16
698427173532872,חופות - מבית השגחה פרטית,חופות,680,2
119194297776590,אוריאל לין,אוריאל לין,677,2
102703162781358,הדס שקד - נכונה לגלבוע,הדס שקד - נכונה לגלבוע,672,11
112791015410812,Danny Danon - דני דנון,Danny Danon - דני דנון,669,1
100980849562500,Guy Naveh,Guy Naveh,667,11
100266656171557,תומר גונן - משרד עורכי דין,These ads ran without a disclaimer,659,2
563018707177711,בידינו - למען הר הבית Beyadenu - Returning to the Temple Mount,בידינו - למען הר הבית Beyadenu - Returning to the Temple Mount,652,2
112091438217497,מטה המאבק - כפרי הנוער,מטה המאבק - כפרי הנוער,650,1
103686519246735,Guy Golan,These ads ran without a disclaimer,631,18
498445036891971,Tziki Avisar - ציקי אבישר,Tzvi Avisar,630,7
102971979270877,Rehab TLV,These ads ran without a disclaimer,624,2
243802603036454,חיפה בשבילנו - בראשות שרית גולן-שטיינברג,חיפה בשבילנו - בראשות שרית גולן-שטיינברג,621,7
615531405455497,הדר לביא,Hadar Lavi,617,5
104335504350632,כרמים - המינהלת להתחדשות עירונית פתח תקווה,כרמים,602,10
1541559162728136,רדיו תשעים,רדיו תשעים,599,12
332750350674,עמק שווה - Emek Shaveh,עמק שווה - Emek Shaveh,598,10
1129270547137227,EcoHeat,"אקוהיט מערכות חימום בע""מ",578,1
