Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,3917,10
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,3596,18
113143203693,Santander Bank Polska,Santander Bank Polska,3593,10
959387840744974,Bezpartyjni Samorządowcy,Ogólnopolska Federacja Bezpartyjni i Samorządowcy,3538,36
514735281965536,Demagog,Stowarzyszenie Demagog,3445,26
252707301407911,Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwo Rolnictwa i Rozwoju Wsi,3433,1
100302862419697,"Wielkopolska, tej",UMWW,3229,77
618179678235315,wschód,wschód,3151,13
131886210173156,Almette. Przyjemność z natury.,These ads ran without a disclaimer,3108,2
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,3060,12
286672948180163,Tomasz Trela,Poseł Tomasz Trela,3032,43
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,3000,7
557305027641691,Prof. Ryszard Legutko,European Parliament ECR Group,3000,1
2320275388297228,Marcin Romanowski,Marcin Romanowski,2998,1
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",2943,38
1495480087399256,Jacek Ozdoba,Jacek Ozdoba,2942,8
134214926657042,Radosław Sikorski,Radosław Sikorski,2791,6
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,2779,17
340765409708087,Ryszard Madziar,Ryszard Madziar,2751,67
199877710116314,Patryk Jaki,Patryk Jaki,2716,11
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,2691,34
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,2682,18
109218848183780,Marek Woźniak,UMWW,2643,55
111275624780972,Erase Indifference,Erase Indifference,2620,7
105039892358886,FURPO - Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,2610,11
312204349288060,Mariusz Gosek,Mariusz Gosek,2606,42
107898832590939,European Commission,European Commission,2603,4
203627442993022,Portal Oświatowy,Wiedza i Praktyka,2531,3
110491392351511,LINK4,LINK4,2521,1
105241158314515,Kongres Regeneracja Miast,Fundacja Gospodarki i Administracji Publicznej,2513,86
100530692579091,Forum Bezpieczeństwa,Forum Bezpieczeństwa,2506,10
257593184447834,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,2472,15
108470777303042,Robert Popkowski,Robert Popkowski,2472,14
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,2451,4
142210712522850,Województwo Podlaskie,Urząd Marszałkowski Województwa Podlaskiego,2425,2
245931812144589,Towarzystwo Edukacji Antydyskryminacyjnej,Towarzystwo Edukacji Antydyskryminacyjnej,2423,11
349783468716743,Włodzimierz Tomaszewski Minister ds. Samorządu Terytorialnego Poseł na Sejm,Włodzimierz Tomaszewski Minister ds. Samorządu Terytorialnego Poseł na Sejm,2413,3
331112537305950,Bydgoskie Konsultacje,Bydgoskie Konsultacje,2369,5
142614625077,WWF Polska,WWF Polska,2364,5
707571179402224,Rada Miasta Gdańska,Rada Miasta Gdańska,2355,3
181020632309,Wydawnictwo Znak,Wydawnictwo Znak,2307,9
1629946500626448,To Tylko Astma,OS3 Sp. z o.o.,2294,11
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,2203,7
169913419732194,Michał Jaros,Michał Jaros,2189,51
142218132483199,Kasa Stefczyka,Kasa Stefczyka,2178,12
102190222345818,Kancelaria ds. Obywatelskich,Kancelaria ds. Obywatelskich,2165,12
434225653303734,Fundusze Europejskie dla Mazowsza,Agencja Reklamowa DSK Sp z o.o.,2124,20
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,2122,5
101675557899435,Wiadomości Szczecin,Gmina Miasto Szczecin,2096,18
133112726750279,M jak Mama,Grupa ZPR Media,2087,13
308784726230232,Polskie Stowarzyszenie Zero Waste,Polskie Stowarzyszenie Zero Waste,2081,7
177473808919,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,2073,14
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,2043,52
648495745485275,Adrian Witczak - radny Tomaszowa Mazowieckiego,Adrian Witczak - radny Tomaszowa Mazowieckiego,2012,21
275609354489,Piknik Naukowy,Centrum Nauki Kopernik,2000,6
113267398356583,Komitet Inicjatywy Ustawodawczej „STOP zakazowi pracy”,Polskie Stowarzyszenie Obrońców Życia Człowieka,1997,4
74863922834,Krytyka Polityczna,Krytyka Polityczna,1981,21
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,1963,3
1646168595688590,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,1944,6
202473923251760,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Gdańsku,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Gdańsku,1941,10
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Fundacja Rozwoju Demokracji Lokalnej,1926,8
930978763646427,Stanisław Tyszka,Biuro Poselskie Posła na Sejm RP Stanisława Tyszki,1905,5
199877710116314,Patryk Jaki,European Conservatives and Reformists (ECR) Party - Patryk Jaki MEP,1896,6
127619873953536,Stefczyk.info,Stefczyk.info,1885,19
174123027189,Instytut Spraw Publicznych,Fundacja Instytut Spraw Publicznych,1885,8
151650414730,Med Polonia,Med Polonia Sp. z o. o.,1864,56
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,1849,48
621959344553367,DNA Rynków - merytorycznie o giełdach i gospodarkach,DNA Rynków,1836,20
254609585192595,"Prof. Marek GZIK, Przewodniczący Sejmiku Województwa Śląskiego, MBA","Prof. Marek GZIK, Przewodniczący Sejmiku Województwa Śląskiego, MBA",1814,12
102440065924109,Radny SZOPA,Radny SZOPA,1777,5
107009549338936,Uniwersytet WSB Merito Chorzów  - wcześniej Wyższa Szkoła Bankowa,Uniwersytet WSB Merito Chorzów  - wcześniej Wyższa Szkoła Bankowa,1752,8
634178786679448,Aleksander Miszalski - Poseł na Sejm RP,Aleksander Miszalski - Poseł na Sejm RP,1738,14
160020290716774,Miejska Wola,Urząd Dzielnicy Wola,1733,13
190826941005885,Visit European Parliament,These ads ran without a disclaimer,1726,1
561109754080680,Związek Miast Polskich,Związek Miast Polskich,1713,14
1465965073732774,Łukasz Kohut,Łukasz Kohut,1693,5
143951191449,Profinfo.pl,Wolters Kluwer PL,1658,48
255100403945,Polityka,Polityka,1601,16
336053196495383,Nagroda Frankiewicza,Nagroda Frankiewicza,1600,2
1490825114573569,Anna Ewa Cicholska,Anna Ewa Cicholska,1598,10
376101312892,Miasto Poznań,Miasto Poznań,1578,2
363474570925082,Jolanta Milas KP,Jolanta Milas KP,1567,7
1752318511650368,Akamai Poland,More Bananas,1566,12
1480642642217482,Marcin Dmowski,Marcin Dmowski,1561,7
297486841148102,Ius Memoriae - Prawo Pamięci,Ius Memoriae,1553,51
126221077483593,Teatr Powszechny,Teatr Powszechny,1552,7
561843337248654,Michał Drewnicki - wiceprzewodniczący Rady Miasta Krakowa,Michał Drewnicki - wiceprzewodniczący Rady Miasta Krakowa,1538,9
934704640017108,PKN ORLEN,PKN ORLEN S.A.,1533,3
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,1500,21
355335447987852,"Katarzyna Stachowicz - samorządowiec, działaczka społeczna","Katarzyna Stachowicz - samorządowiec, działaczka społeczna",1494,8
100600111478700,Nowa Energia Dla Łodzi,VEOLIA NOWA ENERGIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,1493,13
1884681241647994,Anna Gembicka,Biuro Poselskie Posła Na Sejm RP Anny Gembickiej,1485,43
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,1473,14
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,1466,12
1496359750659795,Michał Wójcik,Michał Wójcik,1463,1
115478341884841,Platforma Obywatelska - Małopolska,Platforma Obywatelska RP,1460,2
1563121843792594,Olsztyński Marsz Równości,Olsztyński Marsz Równości,1458,8
190536713845,Fundacja JiM,Fundacja JiM,1451,3
990533821012595,Nierealnie,Nierealnie.pl,1448,43
109108387625446,Marwan,These ads ran without a disclaimer,1448,55
100569026183717,W Obronie Zdrowia,W Obronie Zdrowia,1429,34
202813996476257,Podlaski.info,Tygodnik Podlaski,1417,10
109649700417909,Piotr Sak,Poseł na Sejm RP Piotr Sak,1416,6
1725148494424834,Urząd Marszałkowski Województwa Wielkopolskiego,Urząd Marszałkowski Województwa Wielkopolskiego,1416,33
320289978035326,Poradnik Zdrowie,Poradnik Zdrowie,1398,14
172298576634819,Sebastian Luty – Fundacja Avalon,Fundacja Avalon,1391,8
267686749910602,Piotr Müller,Piotr Müller,1381,18
108887131372926,Fundacja Nowej Wspólnoty,Fundacja Nowej Wspólnoty,1350,12
387124011444132,Wojciech Saługa Poseł na Sejm,Wojciech Saługa Poseł na Sejm,1325,4
107280785612581,Krakowskie Centrum Edukacji Klimatycznej,Krakowskie Centrum Edukacji Klimatycznej,1322,9
107501515349034,Responsiblee,Responsiblee,1319,1
108567461681538,"Polska Katolicka, nie laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,1294,3
176619537364977,Grodno S.A.,Grodno S.A.,1286,4
145329992215815,Piotr Król,Piotr Król,1279,6
814991668621838,Norbert Kaczmarczyk,Norbert Kaczmarczyk,1279,1
1435687536687711,Bartosz Kownacki,Bartosz Kownacki,1260,9
106552182752379,Fortum Polska,Fortum Power and Heat Polska Sp. z o.o.,1256,19
100270259022054,Niebieskie Trampki - kroki ku życiu,Niebieskie Trampki - kroki ku życiu,1247,2
105428171456904,BWT Polska - Best Water Technology,BWT Polska,1233,17
137877409609952,Lewica,Nowa Lewica,1230,8
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,1225,10
187613920648,Mazowiecka Wspólnota Samorządowa,Mazowiecka Wspólnota Samorządowa,1221,8
1394178040901412,Kolor Fest,These ads ran without a disclaimer,1217,1
175966550952,Chrońmy Klimat,Fundacja Instytut na rzecz Ekorozwoju,1215,30
170894632966683,Warszawski Instytut Bankowości,Sektorowa Rada ds. Kompetencji Sektora Finansowego,1200,12
971833706177522,Kraków dla Mieszkańców,Kraków dla Mieszkańców,1200,7
176114889652,Kancelaria Premiera,Kancelaria Premiera,1199,4
153679474688551,Wydawnictwo Fronda,Wydawnictwo Fronda,1147,26
101283291180,dziennik.pl,dziennik.pl,1100,10
480747299096034,Sławomir Batko - Radny Miasta Opola,Sławomir Batko - Radny Miasta Opola,1088,7
521216701360487,MURATOR,MURATOR,1078,13
378777385998461,Grupa MTP,Grupa MTP,1069,15
323818978380073,Stanisław Derehajło,Stanisław Derehajło,1059,11
1500359650261089,Marcin Gołaszewski,Marcin Gołaszewski,1041,21
267686749910602,Piotr Müller,Piotr Müller - Poseł na Sejm RP,1037,14
457690554629140,Narodowy Instytut Architektury i Urbanistyki,Narodowy Instytut Architektury i Urbanistyki,1031,3
192564914277830,Zebrra.tv,Zebrra.tv,1030,2
109231571984405,Accelera,These ads ran without a disclaimer,1027,1
1414703345491996,Zbigniew Konwiński,Zbigniew Konwiński,1025,14
115651338097958,Krzysztof Dziwisz - Starosta Powiatu Żyrardowskiego,Krzysztof Dziwisz - Starosta Powiatu Żyrardowskiego,1021,11
714003515334353,NOWA STACJA,Nowa Stacja Pruszków,1006,17
167053496770977,Fundacja Redemptoris Missio,Fundacja Pomocy Humanitarnej Redemptoris Missio,1005,3
398575110474591,Krzysztof Gadowski - Poseł na Sejm RP,Krzysztof Gadowski - Poseł na Sejm RP,1000,1
1608832986037147,Super Express Warszawa,Warszawa - Eska Info,1000,3
930978763646427,Stanisław Tyszka,Stanisław Tyszka,1000,2
589330734560457,Łódzkie Dziewuchy Dziewuchom,Łódzkie Dziewuchy Dziewuchom,997,5
108778518742588,Wspólnie/Спільно Sopot,Gmina Miasta Sopotu,989,16
110898338585970,Mgboardy,MGBoardy.pl,986,2
1437227889827328,Fundacja Dobrych Inicjatyw,Fundacja Dobrych Inicjatyw,981,5
256850261180940,Przemysław Przybylski,Przemysław Przybylski,979,7
448526941964220,Urszula Augustyn Posłanka na Sejm RP,Biuro Poselskie Posłanki Urszuli Augustyn,970,5
195947557131612,Fundacja Avalon,These ads ran without a disclaimer,961,5
186543124707583,ISSA Prevent Plastic Pollution,Biuro wykonawcze ISSA w Polsce,959,14
174708585894934,WP Wiadomości,These ads ran without a disclaimer,944,1
136932946358747,Michał Dworczyk,Michał Dworczyk (PiS),940,6
108586015068938,Zorientowani na Rodzinę,Fundacja Ogólnopolski Strajk Kobiet,929,9
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,920,29
2025169264443553,Klub Radnych PiS - Szczecin,Klub Radnych PiS - Szczecin,915,1
224084161035672,KRAKERS,Fundacja Wschód Sztuki,911,3
429506290917644,Toyota - fabryka w Jelczu,Toyota - fabryka w Jelczu,904,4
101876361512444,Krajowy Projekt Energetyczny - odnawialne źródła energii dla każdego,These ads ran without a disclaimer,904,1
658695000844495,Adam Andruszkiewicz,Adam Andruszkiewicz,887,5
352969621437965,Magna Polonia,Fundacja Magna Polonia,885,3
106178245717732,Chodura Michał,Chodura Michał,880,3
109269485083516,Krzysztof Szczucki,Krzysztof Szczucki,876,19
104313762397672,PolitykaRolna.eu - Nowa Wspólna Polityka Rolna projekt Infocap PL,Plantpress Sp. z o. o.,861,3
342701305934903,Małgorzata Chmiel - poseł na Sejm RP,Małgorzata Chmiel - poseł na Sejm RP,859,7
832320483579139,Vestra,Vestra,858,1
1969690229933601,Fundacja Zakłady Kórnickie,Fundacja Zakłady Kórnickie,853,5
370319116027,Andrzej Halicki,Andrzej Halicki,850,3
152430678121698,Wielkopolskie Muzeum Niepodległości,Wielkopolskie Muzeum Niepodległości,849,6
101185701666967,Stop Milczeniu - stop pedofilii w kościele,Stop Milczeniu,844,3
110731291587098,Kiełpiński Konkretnie,Kiełpiński Konkretnie,842,18
430323810469014,Razem,Partia Razem,840,5
209963076513421,Niepodległa. Miejsce spotkań,Niepodległa,832,10
359606364774932,"Beata Maciejewska - Posłanka Lewicy, Gdańsk",Biuro Poselskie Beaty Maciejewskiej,831,4
116580465063718,Marcin Meller,Marcin Meller,828,2
123234977337474,Відновлення добробуту_Польша,Відновлення добробуту_Польша,827,7
899169200167062,BO Małopolska,Urząd Marszałkowski Województwa Małopolskiego,825,11
546477339126145,Gabriela Morawska-Stanecka,Biuro Senatorskie Gabriela Morawska-Stanecka,823,4
109322024122568,Dagmara Adamiak,Dagmara Adamiak,816,3
108494929216934,Marcin Kierwiński,Marcin Kierwiński,800,5
573994789747274,Janka Ochojska,Biuro Posłanki do Parlamentu Europejskiego Janiny Ochojskiej – Okońskiej,800,2
239574985661,Akademia Górniczo-Hutnicza w Krakowie,Akademia Górniczo-Hutnicza w Krakowie,800,2
1111228758917873,Radosław Lubczyk - Poseł na Sejm RP,Radosław Lubczyk,792,7
199401584696,Konfederacja Lewiatan,Konfederacja Lewiatan,791,6
336438736394843,Wydawnictwo AGORA,Wydawnictwo AGORA,789,6
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro – Prawo do życia,788,11
111993840665768,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,Stowarzyszenie Ks. Piotra Skargi,776,9
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),765,9
405824882955092,Mazowieckie,Urząd Marszałkowski Województwa Mazowieckiego w Warszawie,749,3
170887773826663,Marcin Warchoł,Marcin Warchoł,744,1
145382618855042,Muzeum Sztuki w Łodzi,Muzeum Sztuki w Łodzi,738,1
144808095552639,ING Polska,These ads ran without a disclaimer,729,1
1493760307522390,CityFit,CityFit,725,4
111536078074010,Strefa Logopedy,Wiedza i Praktyka,723,1
114453729684,gazetaprawna.pl,gazetaprawna.pl,722,14
288020584605038,Gmina Słupsk,Urząd Gminy Słupsk,704,3
1486073791690826,Arkadiusz Marchewka,Poseł na Sejm RP Arkadiusz Marchewka,704,5
335107452998,"InPost - Paczkomat, Kurier","InPost - Paczkomat, Kurier",702,4
116580465063718,Marcin Meller,Grupa Wydawnicza Foksal,700,1
416252751891711,Super Express Wrocław,Grupa ZPR Media,694,17
118055394941878,ABB,Performance Media P.S.A,688,4
1454333274894957,Małgorzata Tracz,Biuro Poselskie Posłanki na Sejm RP Małgorzaty Tracz,687,14
107010907929210,Praca w Allegro,Allegro,684,4
851597268265842,Telewizja Kopernik,TELEWIZJA KOPERNIK,679,36
200480966638039,Supremacy 1914,These ads ran without a disclaimer,673,2
104873974773853,rePETujemy,Repetujemy,661,14
834495839904474,Michał Cieślak,Michał Cieślak,659,8
104782925572496,Okręgowa Izba Pielęgniarek i Położnych w Słupsku,Okręgowa Izba Pielęgniarek i Położnych w Słupsku,651,13
1756392918011290,Poleco - Targi Ochrony Środowiska,Grupa MTP,649,10
100363112049746,Dbamy o wodę,FleishmanHillard,648,11
101751661613203,Adam Lutkowski,Adam Lutkowski,639,9
81885462442,Histmag.org,Histmag.org,635,28
1732387893666658,Heritage Real Estate,These ads ran without a disclaimer,625,11
351913848834225,Homokomando,Homokomando,619,2
962336330622994,Michał Gzowski,Michał Gzowski,613,3
366513693549844,Dr Witold Czarnecki - Poseł z Wielkopolski,Dr Witold Czarnecki - Poseł z Wielkopolski,609,23
200091816292,Marsz dla Życia i Rodziny,Marsz dla Życia i Rodziny,600,1
109719194540240,Fundacja Błękitna,Fundacja Błękitna,600,8
160978464020426,Sławomir Nitras,Sławomir Nitras,600,2
371752056582,Filmoteka Narodowa - Instytut Audiowizualny,Filmoteka Narodowa - Instytut Audiowizualny,600,5
136390556431938,Pracownia na rzecz Wszystkich Istot,Pracownia na rzecz Wszystkich Istot,600,4
145481822175715,Otodom,Grupa OLX sp. z o.o.,600,1
110600210285711,Księgarnia Foksal,Grupa Wydawnicza Foksal,600,5
107478768563531,Andrzej ŚLIWKA - Wiceminister Aktywów Państwowych,Andrzej ŚLIWKA - Wiceminister Aktywów Państwowych,595,11
385046961963136,"Łukasz Banaś - Polityk, Samorządowiec, Sportowiec.","Łukasz Banaś - Polityk, Samorządowiec, Sportowiec.",595,4
1967695263556184,Sylwia Spurek,The Grens/EFA in the European Parliament,585,2
133482470024453,Newsweek Polska,Newsweek Polska,578,2
103829392999632,Magnolia Park,Magnolia Park,570,6
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,569,4
112055027022643,Legal Marine,Legal Marine - Mateusz Romowicz,556,10
1716935421867788,Michał Górski - Radny Rady Miejskiej Wrocławia,Michał Górski - Radny Rady Miejskiej Wrocławia,553,3
110628809591185,Alan Wolny,Alan Wolny,553,15
106077758968514,KykoraLi,These ads ran without a disclaimer,544,3
427646927347438,A4 Katowice - Kraków,These ads ran without a disclaimer,544,2
116726061387342,Skąd dokąd / In the Rearview,These ads ran without a disclaimer,535,1
868599633152789,Koncept - magazyn akademicki,Fundacja Inicjatyw Młodzieżowych,530,14
1494751557428152,Jacek Jaśkowiak,Jacek Jaśkowiak,530,4
108513112243987,Aktualności,These ads ran without a disclaimer,528,1
100383291352507,Instytut Botaniki im. W. Szafera Polskiej Akademii Nauk w Krakowie,Semstart sp. z o.o,527,4
101433527872341,Krzysztof Sobolewski,Biuro Poselskie Posła na Sejm RP Krzysztofa Sobolewskiego,520,13
839034659487216,Nowa Nadzieja Bydgoszcz,KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja,520,4
129626970836,inFakt,inFakt,512,2
104291779009388,Pojęcie małżeństwa w pryzmacie teorii wymogów imperatywnych,Fundacja Instytut Prawa Ustrojowego,510,6
130752780291804,Fundacja Geremka,These ads ran without a disclaimer,510,1
173873282095,Forsal.pl,Forsal.pl,507,10
1479047189015939,Polski Cement,Stowarzyszenie Producentów Cementu,503,13
255204804904226,Fundacja Rozwoju Kinematografii,Fundacja Rozwoju Kinematografii,502,5
110470565631715,Instytut Praw Pacjenta i Edukacji Zdrowotnej,Instytut Praw Pacjenta i Edukacji Zdrowotnej,500,1
206578949374958,Fundacja Republikańska,Fundacja Republikańska,500,1
105629772798008,Kraków PL,These ads ran without a disclaimer,500,1
108531468036710,Europejski Festiwal Biegowy - Dwa Beskidy,Europejski Festiwal Biegowy - Dwa Beskidy,500,2
350646961651071,Konsulat Generalny Niemiec we Wrocławiu,Konsulat Generalny Niemiec we Wrocławiu,500,2
847312858612225,Karolina Pawliczak - Posłanka na Sejm RP,Biuro Poselskie Karoliny Pawliczak,500,1
174126912673062,Młodzi pro-life,Polskie Stowarzyszenie Obrońców Życia Człowieka,500,1
432262006919523,Krzysztof Nowak,Krzysztof Nowak,500,1
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),500,3
293429704566340,Ryszard Świlski,Ryszard Świlski,500,1
102176385816302,Przemysław Tetłak - Radny Miasta i Gminy Paczków,Przemysław Tetłak - Radny Miasta i Gminy Paczków,496,2
101642942680755,Nie daj się kupić • STOP Handlowi Ludźmi,Nie daj się kupić • STOP Handlowi Ludźmi,492,2
147284671976535,Jak wygrać wybory? Praktycznie o kampaniach wyborczych,Jacek Babiel,491,17
2120416424876335,Grzegorz Macko - Wicemarszałek Województwa Dolnośląskiego,Grzegorz Macko - Wicemarszałek Województwa Dolnośląskiego,486,3
130752780291804,Fundacja Geremka,Fundacja Geremka,481,5
1698410857119268,Krzysztof Komorski,Krzysztof Komorski,479,3
109835928458990,Marian Cichon - Starosta Powiatu Gdańskiego,Marian Cichon - Starosta Powiatu Gdańskiego,472,4
258394024199313,Centrum Mieroszewskiego,Centrum Dialogu im. Juliusza Mieroszewskiego,470,10
102800456094413,Piotr Wawrzyniak,Piotr Wawrzyniak,468,4
