Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
217391588404948,Katalys,Katalys,11960,13
163305633746125,Karneval förlag,Holviks,11094,5
249195615122371,Sara Skyttedal,Sara Skyttedal Dihang,10889,6
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,10786,8
10150161538825010,Medborgarskolan,Medborgarskolan,10639,7
539297539496434,Dagens Samhälle,Dagens Samhälle,10616,1
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,10531,31
965458110149319,Byggindustrin,Byggindustrin,10204,1
1531320107133721,Syre,Dagens O2 AB,10199,4
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,10182,18
2337692372925538,Reformisterna,Reformisterna,10047,26
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,9999,2
273053169937029,ClimateHero,ClimateHero,9924,8
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,9784,7
412192732132640,ECPAT Sverige,ECPAT Sverige,9671,10
103065692733960,Öis,Skövde kommun,9669,18
147547541961576,Council of the European Union,Council of the European Union,9622,21
179931025357058,Kommunal,Kommunal,9487,12
122291934457124,Handelshögskolan vid Göteborgs universitet,Handelshögskolan vid Göteborgs universitet,9394,3
2002046333202650,Bli nämndeman,Bli nämndeman,9191,18
133681391993,Socialdemokraterna i Göteborg,Socialdemokraterna i Göteborg,9051,6
223302541061447,Nema Problema,Nema Problema,9040,80
298545626828036,Socialdemokraterna i Botkyrka,Socialdemokraterna i Botkyrka,9000,2
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,8800,4
98623096089,Lantmännen,Lantmännen,8505,2
175843834306,WaterAid Sverige,WaterAid Sverige,8360,11
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,8195,23
212284955495610,Elektrikerna,Elektrikerna,8133,19
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,8087,11
252516142116820,Abir Al-Sahlani,Abir Al-Sahlani,7837,3
257888154669865,Conscia Sverige,Conscia Sverige AB,7566,15
109969847586061,Morgon-Tidningen,AIP Media,7492,3
379686162129542,Svea Bank,Svea Ekonomi,7386,8
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,7381,3
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,7355,14
115403725210334,Hand in Hand Sweden,Hand in Hand Sweden,7245,1
178193355556765,Nordström Assistans AB,Nordström Assistans AB,7150,3
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,7112,3
176527602394716,Olivia Personlig Assistans AB,Olivia Personlig Assistans AB,7098,3
208751565805849,Stiftelsen Expo,Stiftelsen Expo,7023,4
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,6937,7
473182566110689,Inre Kraft - Personlig Assistans & Hemtjänst,Inre Kraft - Personlig Assistans & Hemtjänst,6717,2
251829904829983,David Lega,David Lega - Kristdemokraterna,6700,5
133536819999319,SOS Barnbyar,These ads ran without a disclaimer,6632,10
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,6610,21
1633181116933852,SvD Junior,SvD Junior (SvD),6558,60
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,6550,22
188821514474911,Preem,Preem AB,6495,2
547965058654664,MyRight - Empowers people with disabilities,MyRight - Empowers people with disabilities,6480,4
231705333633358,Göteborgs stift Svenska kyrkan,Göteborgs stift Svenska kyrkan,6416,9
397655376946941,Liberalerna Lidingö,Liberalerna Lidingö,6382,5
323156205347,Vänsterpartiet,Vänsterpartiet,6351,16
100394276688509,Halmstads kommun,Halmstads kommun,6309,6
314283591054,Byggnads,Byggnads,6216,30
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,6190,11
102603159402551,Inner Connections,Kulturhuset i Ytterjärna AB,6186,4
735108653195373,Vänsterpartiet Haninge,Olofsson Lars-Johan Patrik,6174,10
899603916845362,JAG Personlig assistans,JAG Personlig assistans,6094,7
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,6091,6
109609604086656,Vejpkollen.se,Vejpkollen.se,6084,5
12690894340,Centerpartiet,Centerpartiet,5998,24
120216874723147,Svenskt Sigill,Svenskt Sigill,5996,32
126245644082634,Malmömoderaterna,Malmömoderaterna,5958,10
133910158381,Saco,Saco,5911,2
347852331958080,En Företagares Vardag,En Företagares Vardag,5889,26
226810677402741,Centerpartiet i Jönköpings län,Centerpartiet Jönköpings län,5867,3
109344797318593,Vi Som Bygger Landet,Vi som bygger landet,5850,14
132934600111301,Skogsstyrelsen,Skogsstyrelsen,5680,6
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,5572,11
171485892943500,Socialdemokraterna i Jönköping,Socialdemokraterna i Jönköpings kommun,5494,5
588111131243298,Sverigedemokraterna Hässleholm,Sverigedemokraterna Hässleholm,5452,10
277541019375317,Jämställdhetsmyndigheten,These ads ran without a disclaimer,5444,8
153150404966,Moderaterna Skellefteå,Moderaterna Skellefteå,5358,5
216625221784563,Alkompis  الكومبس,Alkompis  الكومبس,5346,3
169905029701515,Trollhättans Stad,Trollhättans Stad,5344,3
277520678945640,Svenskt Näringsliv Halland,Svenskt Näringsliv,5304,18
1774980969487507,Naturvetenskap vid Göteborgs universitet,Göteborgs universitet,5279,2
590736644344351,Svenskt Näringsliv Jönköpings län,Svenskt Näringsliv,5178,14
45101268520,SSU,SSU,5068,20
112338252157105,Viskadalen,Viskadalen,5051,3
110406624703905,Katrin Stjernfeldt Jammeh,Socialdemokraterna i Malmö,5040,6
1669486323321422,Lund University Sustainability Forum,Lunds universitet,5002,16
129841741852473,Folkhälsodalen,Folkhälsodalen,5000,6
809338299217333,Svenska Epoch Times,These ads ran without a disclaimer,4995,4
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,4989,7
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,4986,7
1042091032500520,Kvartal,Kvartal,4954,6
183512318424647,Magdalena Andersson,Socialdemokraterna,4939,2
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,4890,8
230671826970236,Uppsala konstmuseum,Uppsala kommun,4702,18
294444197371898,Byggnads Skåne,Byggnads Skåne,4676,10
80386149597,ABF,ABFs förbundsexpedition,4638,6
690167674732029,Lena Hallengren,Socialdemokraterna,4636,7
1261907310611511,Segerstedtinstitutet vid Göteborgs universitet,Richard Millings,4600,4
887305194662637,Axess Magasin & TV,Axess Publishing,4600,6
104150768465045,Med Israel för fred - MIFF Sverige,Med Israel for fred-Sverige,4423,1
102335578503312,Linköpingslistan,Linköpingslistan,4383,1
105051279529106,Kulturhuset Stadsteatern,Kulturhuset Stadsteatern,4336,11
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,4289,5
113710601984970,Barnfonden,Barnfonden,4214,5
286987014656068,Socialdemokraterna Solna,Socialdemokraterna Solna,4100,12
136869337238,Tidningen Dagen,Dagen,4093,4
109098320518639,Dogoodel.,DoGood EL,4086,6
103915918247717,Bulletin,Bulletin,4017,2
105345278410827,Frälsningsarméns sociala arbete,Frälsningsarmén,4000,2
505186329496364,Aktiv Assistans AB,Aktiv Assistans AB,3934,2
246496118807270,Rejmes Lastvagnar,These ads ran without a disclaimer,3933,4
120653037981614,Örebro universitet,Örebro universitet,3923,3
355819811185620,Arba Kokalari,Moderaterna,3907,4
194996370654471,Assistanslotsen,Assistanslotsen,3907,2
1267325956645384,Bonzi,Bonzi,3906,2
766962160096580,Vi Omsorg i Sverige AB,Vi Omsorg i Sverige AB,3904,2
100154266829621,Kyrkans Tidning,Kyrkans Tidning,3807,9
342952129133948,Kultur i Malmö,Kultur i Malmö,3804,1
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,3730,13
369122343101775,e.on,These ads ran without a disclaimer,3722,1
115795772512,Stadsbiblioteket i Malmö,Stadsbiblioteket i Malmö,3605,7
244897208924797,Arbetet,Arbetet,3581,2
769689373178831,Sjukvårdspartiet Västernorrland,Sjukvårdspartiet Västernorrland,3569,3
1540294046226139,Feministsmeden,Feministsmeden,3561,3
137137253009463,Campus Varberg,These ads ran without a disclaimer,3555,1
1715208875382561,OP Assistans,OP Assistans,3503,2
989752884508948,Muharrem Demirok,Centerpartiet,3500,4
176875999028086,Kristdemokraterna Stockholm,Kristdemokraterna Stockholm,3485,7
119432911402994,Socialdemokraterna i Växjö,Socialdemokraterna Växjö,3400,4
110752522319286,Volontärbyrån,Volontärbyrån,3338,3
308075749348969,Svenskt Näringsliv Kronoberg,Svenskt Näringsliv,3307,2
158287751579170,Carlshamn,These ads ran without a disclaimer,3301,2
1729304067391998,Sverigedemokraterna Stockholm,SD Stockholm,3250,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,3176,4
135062563176874,Utrikespolitiska Institutet,Utrikespolitiska Institutet,3172,11
171919835807,TCO,TCO,3166,4
237287320360804,Omtanke.today,Jenny Fors,3128,16
272041890388,Socialdemokraterna i Eskilstuna,Socialdemokraterna i Eskilstuna,3070,5
147672065396607,Sverigedemokraterna Linköping,Dahlqvist Chris,3056,4
1491285471125054,Vänsterpartiet Södertälje,Vänsterpartiet Södertälje,3016,8
108878133830874,Grön flygplats,Projektet Grön Flygplats; finansierat av Svenska Regionala Flygplatser och Europeiska Regionala Utvecklingsfonden,3009,6
178362315106,European Parliament,European Parliament,3008,58
190994184253208,Vänsterpartiet Lund,Sahlen Carl Jesper,3000,1
157164123601,Trafikverket,Trafikverket,3000,1
383511565045309,Region Värmland,Region Värmland,3000,1
129853960408496,Socialdemokraterna Östergötland,Ellen Aguirre,3000,1
233059080071059,Socialdemokraterna Sundbyberg,Socialdemokraterna i Sundbyberg,3000,1
273402369438867,By Billgren,By Billgren AB,3000,2
167847649916608,Friends,Stiftelsen Friends,2999,1
264426550246963,Kalmar fortsatt framåt - Socialdemokraterna i Kalmar,Kalmar Fortsatt Framåt - Socialdemokraterna i Kalmar,2998,2
450853258274653,Vänsterpartiet Halmstad,Vänsterpartiet Halmstad,2940,13
351522355766,PMU,PMU Interlife,2939,5
505229989560231,Kristdemokraterna i Skåne,Kristdemokraterna i Skåne,2920,5
183959274989548,Landsbygdsnätverket,Landsbygdsnätverket,2903,13
329452290816078,Tidningen Market,Tidningen Market,2902,2
163820136238,LO Sverige,Landsorganisationen Sverige,2826,8
120633071295935,Fairtrade Sverige,Fairtrade Sverige,2822,17
114782395316367,Socialdemokraterna i Västernorrland,Socialdemokraterna i Västernorrland,2819,11
110669306956915,Orättsstaten.se,Orättsstaten.se,2800,2
150453111655854,Folkbildningsrådet,Elin Sundling,2749,6
108232155430828,Lawyer Jan,These ads ran without a disclaimer,2726,118
229796357036465,Sverigedemokraterna Sundsvall,Kevin Sahlin,2664,1
112635368770882,Socialdemokraterna i Kronoberg,Socialdemokraterna i Kronoberg,2551,4
250766161722636,Europa Direkt Halland,Europa Direkt Halland,2549,6
146593541117,nwt.se,NWT Media AB,2538,9
150057951690751,OKQ8,These ads ran without a disclaimer,2537,6
709317875766999,Judisk Kultur i Sverige,Judisk Kultur i Sverige,2536,6
103116771609252,Enskilda Högskolan Stockholm - University College Stockholm,Enskilda Högskolan Stockholm,2528,3
169151353117822,Folkuniversitetet Göteborg,Folkuniversitetet Göteborg,2498,7
312318652204361,Socialdemokraterna i Uppsala län,Socialdemokraterna i Uppsala län,2464,6
105832442784541,Ny Generation,Ny Generation,2410,10
231632277255213,Jobba Grönt,Lantbrukarnas Riksförbund,2402,2
207193162670336,Fair Action,These ads ran without a disclaimer,2400,1
103312943103451,Jönköpings kommun,KSMG,2392,2
132143480932,Nackamoderaterna,Nackamoderaterna,2333,7
198991600145434,Svenskt Näringsliv Skåne,Svenskt Näringsliv Skåne,2290,5
167494870115948,Moderaterna i Lidköping,Moderaterna Lidköping,2270,4
125113298313,Centerpartiet i Malmö,Centerpartiet i Malmö,2269,12
103457111315098,Vänsterpartiet Örebro Kommun,Vänsterpartiet Örebro kommun,2250,2
187832004591985,LO-distriktet i Småland och Blekinge,LO-distriktet i Småland och Blekinge,2226,3
624844364247833,Svenskt Näringsliv Värmland,Svenskt Näringsliv Värmland,2218,8
182595121869724,Sverigedemokraterna Stockholms stad,SD Stockholms stad,2200,3
130666626950917,Öresundskraft,Öresundskraft,2195,1
388037891351308,Kristdemokraterna Haninge,Kristdemokraterna Haninge,2187,14
268608766607208,Svensk Tidskrift,Svensk Tidskrift,2180,13
276115645732500,Socialdemokraterna i Gävle,Socialdemokraterna i Gävle,2161,5
1791189177563263,Sverigedemokraterna Södertälje,SD Södertälje/Nykvarn,2127,3
76472413284,Tidningen Vi,Tidningen Vi,2115,2
534898423283520,Vänsterpartiet Norrköping,Vänsterpartiet Norrköping,2100,4
540622546006901,Centerpartiet Nacka,Centerpartiet Nacka,2100,7
434357663256684,Student i Vision,Vision,2077,3
266083410123678,Moderaterna i Haninge,Moderaterna i Haninge,2046,4
62185934430,Olof Palmes Internationella Center,Olof Palmes Internationella Center,2025,10
122512491125750,Ängelholms kommun,Ängelholms kommun,2000,1
676246449160270,Sverigedemokraterna,Sverigedemokraterna,2000,1
190164254402843,FKP Scorpio Sverige,FKP Scorpio Sverige,2000,8
155120071294454,Socialdemokraterna i Varberg,Socialdemokraterna Varberg,1988,1
310330762482786,Sara Kukka-Salam,Socialdemokraterna Solna,1987,7
1829725353928210,Tomas Tobé,Tomas Tobé,1985,5
76847196995,Göteborgs stadsbibliotek,Göteborgs stadsbibliotek,1970,6
169508586461,Vänsterpartiet Jönköping,Vänsterpartiet Jönköping,1962,1
114873078542788,Svalorna Latinamerika,Svalorna Latinamerika,1958,2
154313704727539,Rättighetscentrum Norrbotten - mot diskriminering,Rättighetscentrum Norrbotten,1951,2
153386171353294,LRF Västra Sverige,LRF Västra Sverige,1950,3
118162038224731,Moderaterna i Stockholms stad och län,Moderaterna i Stockholms stad och län,1949,2
328034740589662,Vänsterpartiet Eskilstuna,Vänsterpartiet Eskilstuna,1948,1
137789886310956,Socialdemokraterna Huddinge,Socialdemokraterna Huddinge,1941,4
171732326218384,Handelsanställdas förbund,Handelsanställdas förbund,1902,5
324914190902686,Magasinet Paragraf,Magasinet Paragraf,1900,6
407290589320311,ABF Örebro län,Mikael Runesson,1883,9
161686777385,Centerpartiet i Örnsköldsvik,Centerpartiet i Örnsköldsvik,1867,4
182913105077781,Hyresgästföreningen södra Skåne,Eriksson Anna Carolina,1830,2
341237002630986,Karlshamns kommun,Karlshamns kommun,1808,1
1400334680268097,Nyheter i Västerbotten,Nyheter i Västerbotten,1807,5
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,1792,2
178042775588482,Reportrar utan gränser,Reportrar utan gränser,1756,6
138449739649621,Synskadades Riksförbund,Synskadades Riksförbund,1755,5
180578795331360,Svenskt Näringsliv Blekinge,Svenskt Näringsliv,1750,2
180701415377239,Aktion Rädda Vättern,Aktion Rädda Vättern,1750,1
189886914377536,Socialdemokraterna i Linköping,Socialdemokraterna i Linköping,1749,4
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,1735,4
150909028299502,Jernkontoret,Jernkontoret,1710,18
197762513603868,MÄN,MÄN,1695,3
137064659670161,Vänsterpartiet Uppsala,Vänsterpartiet Uppsala,1654,9
880922645401876,RWE,These ads ran without a disclaimer,1645,1
355545767851054,Soltech Energy,These ads ran without a disclaimer,1645,3
773867402653937,Torkild Strandberg,Torkild Strandberg,1640,12
882970465088842,Svenskt Näringsliv Kalmar län,Svenskt Näringsliv,1638,1
337086006951883,Jessica Polfjärd,Moderaterna,1638,5
465428396919164,Socialdemokraterna i Sollentuna,Socialdemokraterna i Sollentuna,1636,3
154507768394620,Vänsterpartiet Fyrbodal,Vänsterpartiet Fyrbodal,1631,1
103953609645359,SCB - Statistiska centralbyrån,Statistiska centralbyrån,1621,6
349041299054769,Kungl. Vetenskapsakademien,Kungl. Vetenskapsakademien,1611,8
94400267368,jagvillhabostad.nu,jagvillhabostad.nu,1589,7
106291668359607,Gabriella Lavecchia,Seko,1583,3
110813562940,Vision,Vision,1556,2
183607788350923,Liberalerna Haninge,Liberalerna Haninge,1543,5
352682608599,Vänsterpartiet Västerås,Vänsterpartiet,1537,6
421347121246692,Konstnärernas Riksorganisation,Konstnärernas Riksorganisation,1529,2
209819466173690,Region Stockholm,Region Stockholm,1527,5
637235366608588,studietid,#studietid,1524,6
513322965515580,Socialdemokraterna Kumla,Socialdemokraterna Kumla,1507,8
653502731358034,Liberalerna Växjö,Liberalerna Växjö,1500,2
127757523931098,Emrahus AB,Emrahus AB,1500,1
253510692370,Arbetaren,Arbetaren,1498,3
761381800679159,Peab Asfalt i Sverige,Peab Asfalt AB,1496,10
1432591790382295,ByMartinsdotter,By Martinsdotter,1495,10
108492218918,IF Metall,IF Metall,1484,9
154609777777,Malmö stad,Malmö stad,1481,1
170519996379,Vänsterpartiet Malmö,Vänsterpartiet Malmö,1479,6
316462188971,Flamman,Tidningsföreningen Norrskensflamman,1471,3
338366093200,Socialdemokraterna i Luleå,Socialdemokraterna i Luleå,1454,2
184879078767802,School of Global Studies,University of Gothenburg,1450,1
640780126093378,Norstedts Juridik,Norstedts Juridik,1450,2
1544485135838767,Svenskt Näringsliv Mellansverige,Svenskt Näringsliv Mellansverige,1437,9
341599100376,Brand,Brand,1430,1
104504131846268,Dawit Isaak-biblioteket,Dawit Isaak-biblioteket,1424,4
217897918243937,Socialdemokraterna i Värmdö,Julia Ekedahl,1400,1
304929002856002,Miljöpartiet de gröna i Järfälla,Miljöpartiet de gröna i Järfälla,1396,20
104952875797501,Carina Ohlsson,Svenska socialdemokrater i Europaparlamentet,1383,3
677603098938486,Socialdemokraterna Tjörn,Christer Olofsson,1380,2
170211353124087,Centerpartiet i Stockholm,Centerpartiet i Stockholm,1355,12
1649460475294700,Sverigedemokraterna Uppsala,SD Uppsala,1352,2
104776597627407,Ellen Fries gymnasium,Uppsala kommun,1346,2
115317275164993,RFSU,RFSU,1327,2
788657588008189,Moderaterna i Västerås,Moderata samlingspartiet i Västerås,1314,3
150820354221,"DIK - facket för kultur,  kommunikation och kreativ sektor",DIK,1302,4
257164037714257,Socialdemokraterna i Piteå,Socialdemokraterna i Piteå,1300,2
237000919761618,Stjärnjouren - Sundbybergs trans- och tjejjour,Hannah Sörbom,1298,3
207890945895422,Jordens Vänner / Friends of the Earth Sweden,These ads ran without a disclaimer,1290,5
112815308441671,WAVEZ,These ads ran without a disclaimer,1265,2
235650011981,SPF Seniorerna,SPF Seniorerna,1260,2
229651940519344,Stadsutveckling Stockholm,Stockholms stad,1235,2
120745044633792,Lunds universitet,Lunds universitet,1224,3
98673036962,ROLDA,These ads ran without a disclaimer,1203,11
152953178070559,Kommunistiska Partiet,Kommunistiska Partiet,1200,2
249325825146346,Fyrisskolan,Uppsala kommun,1194,2
99753892609,Framtidsjorden,Framtidsjorden,1187,5
161086337290646,Moderaterna i Region Västmanland,Moderaterna i Region Västmanland,1187,5
268593563268202,Kristdemokraterna Tyresö,Kennerberg Leif Robert,1185,8
192567580603,Ttela,TTELA,1138,11
276280366116172,Vänsterpartiet Kävlinge,Vänsterpartiet Kävlinge,1126,3
116981431361296,PowerCell Group,These ads ran without a disclaimer,1125,2
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,1123,2
188599687833793,RISE Research Institutes of Sweden,These ads ran without a disclaimer,1121,2
1139097292843761,Kristdemokraterna Göteborg,Miriam Helena Lilja,1101,3
101320658099429,Renoveringsraseriet,Renoveringsraseriet,1095,1
127624557250669,Miljöpartiet de gröna Gävle,Sabina Rossini,1094,3
821885161236997,Vänsterpartiet Centrum Göteborg,Vänsterpartiet Centrum Göteborg,1062,4
513322965515580,Socialdemokraterna Kumla,Veronica Ulfgren,1058,6
273269576169760,Socialdemokraterna i Oskarshamns kommun,Socialdemokraterna i Oskarshamn,1055,4
358016594293864,Socialdemokraterna Ystad,Martensson Hans Inge Marten,1055,9
157426134878218,Bodens kommun,Bodens kommun,1049,3
237863203023150,Vänsterpartiet Umeå,Vänsterpartiet Umeå,1049,5
191784467622752,Kristdemokraterna Nacka,Martin Gunnesson,1046,4
260000590791289,Clearly of Sweden,These ads ran without a disclaimer,1031,1
1592395117505407,Näringslivets medieinstitut,Näringslivets Medieinstitut,1028,2
306507932750972,Socialdemokraterna i Uddevalla,Socialdemokraterna i Uddevalla,1026,4
147248651959750,Samhällsvetenskap-GU,Lars-Olof Karlsson,1023,2
1754723951480332,Luleå Hamn,Luleå hamn,1022,1
329938067056917,Socialdemokraterna Halland,Socialdemokraterna,1012,1
134448989963951,Hyresgästföreningen Norra Skåne,Hyresgästföreningen Norra Skåne,1006,11
1439778006254125,Evin Incir,Socialdemokraterna i Europaparlamentet,1000,2
502392236527740,Socialdemokraterna i Vaggeryds kommun,Socialdemokraterna i Vaggeryds kommun,1000,1
222878274426091,Sverigedemokraterna Skåne,Sverigedemokraterna Skåne,1000,2
132397073455387,Socialdemokraterna i Österåker,Kristian Krassman,1000,1
712230305617939,Uniper i Sverige,Uniper i Sverige,1000,1
166934049354,Miljöpartiet de Gröna i Östergötland,Miljöpartiet i Östergötland,1000,2
174949672555149,Socialdemokraterna i Uppsala,Socialdemokraterna i Uppsala,1000,1
449577235139576,Socialdemokraterna i Ljungby kommun,Socialdemokraterna i Ljungby kommun,1000,2
655758061134956,Erikshjälpen Second Hand Borås,Caritha Felizia Michaela L Hilldén,1000,1
116412365039490,Socialdemokraterna i Västerbotten,Socialdemokraterna i Västerbotten,1000,1
1261907310611511,Segerstedtinstitutet vid Göteborgs universitet,These ads ran without a disclaimer,1000,1
320527884686176,Vänsterpartiet Östersund,Vänsterpartiet Östersund,1000,1
