Page ID,Page name,Disclaimer,Amount spent (PGK),Number of ads in Library
655968144447608,Global Agribusiness Forum,These ads ran without a disclaimer,≤100,2
1639088469637283,Unitar CIFAL Jeju,These ads ran without a disclaimer,≤100,2
1592184267758930,Round-Table,These ads ran without a disclaimer,≤100,4
1670562993161219,Wameblood,These ads ran without a disclaimer,≤100,2
352746421411753,No Deep Sea Mining,These ads ran without a disclaimer,≤100,1
1922795811367714,ProPest Control Limited,These ads ran without a disclaimer,≤100,1
1952904931393090,PNG VOICE,These ads ran without a disclaimer,≤100,1
100922012101786,"Alex Mindi Awesa, ML",These ads ran without a disclaimer,≤100,2
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,18
100268938018211,Morobe Updates,These ads ran without a disclaimer,≤100,2
211113992385727,It's a Penalty,These ads ran without a disclaimer,≤100,1
164524410285253,GSMA,These ads ran without a disclaimer,≤100,1
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
111505803727092,"Hon. Pila Niningi, LLB, MP",These ads ran without a disclaimer,≤100,1
219567644775663,"U.S. Embassy - Port Moresby, Papua New Guinea",These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,7
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,16
143784343079023,PCRIC,These ads ran without a disclaimer,≤100,2
107542608636904,PANGU PATI - 2022 National General Elections,Colin Ishi Agonia,≤100,1
680664748959003,Marine Life Protectors,These ads ran without a disclaimer,≤100,1
367607040042066,VMRay,These ads ran without a disclaimer,≤100,1
1507763099513555,Kumulsoft,These ads ran without a disclaimer,≤100,1
106300009132183,Pacific Women in Power,These ads ran without a disclaimer,≤100,1
115569906489899,ព័ត៌មានភ្លើងទៀន,These ads ran without a disclaimer,≤100,1
658753137555928,Mal Meninga Kuri,These ads ran without a disclaimer,≤100,2
115643231860955,Loved to Love Outreach,These ads ran without a disclaimer,≤100,1
101388725855296,The Hope & Restoration Mission,These ads ran without a disclaimer,≤100,1
100126212204265,Homebond Properties,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,67
1542919985972196,Feria de Cantón,These ads ran without a disclaimer,≤100,4
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100,11
179531808860625,Claytan,These ads ran without a disclaimer,≤100,11
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100,13
110847645375393,Aid Marape James,These ads ran without a disclaimer,≤100,1
430609070736232,ExxonMobil PNG,These ads ran without a disclaimer,≤100,1
218487628613023,"Acatech Aviation College, PNG",These ads ran without a disclaimer,≤100,2
105808001847701,Populist Online,These ads ran without a disclaimer,≤100,17
105712015594786,Diego Andrade,These ads ran without a disclaimer,≤100,2
109754084809981,Wewak Capture,These ads ran without a disclaimer,≤100,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,4
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,32
107600958493138,Bobo wallpaper,These ads ran without a disclaimer,≤100,1
100506432831915,E.SALESpg,These ads ran without a disclaimer,≤100,2
107077838635106,Maus blo Tavurvur,These ads ran without a disclaimer,≤100,1
122107795658000754,FLORY Green Material,These ads ran without a disclaimer,≤100,2
144119958971199,Engineering Institute of Technology,These ads ran without a disclaimer,≤100,1
110959200309181,Lae News & Politics,These ads ran without a disclaimer,≤100,2
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100,4
124252504303223,UNICEF (FR),UNICEF,≤100,15
197708646922970,IMF Finance & Development Magazine,These ads ran without a disclaimer,≤100,3
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,4
104007208903782,Illuminati Followers,These ads ran without a disclaimer,≤100,1
110098284995663,papuanize,These ads ran without a disclaimer,≤100,1
105180422406408,Tumla Investment Limited,These ads ran without a disclaimer,≤100,1
101971649108245,SOFARSOLAR,These ads ran without a disclaimer,≤100,2
176104589110851,IEEE,These ads ran without a disclaimer,≤100,5
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,5
107920015955441,Webmedia South Pacific,These ads ran without a disclaimer,≤100,2
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
274138756817,Architonic,These ads ran without a disclaimer,≤100,3
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,12
102114825976458,The novels,These ads ran without a disclaimer,≤100,8
107935894688657,docfliq,These ads ran without a disclaimer,≤100,1
1048215361885037,معرض الكانتون,These ads ran without a disclaimer,≤100,3
1692218347708164,Hon. Justin Tkatchenko MP,These ads ran without a disclaimer,≤100,2
108383491480436,Have U Heard,These ads ran without a disclaimer,≤100,12
345840486219924,Energy China,These ads ran without a disclaimer,≤100,4
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,65
112600261460607,Kurubu Ipara For Porgera Paiela Open 2022 NGE,These ads ran without a disclaimer,≤100,2
712936602124528,"Pacific Theological College, Suva, Fiji Islands",These ads ran without a disclaimer,≤100,2
791961090884741,BenarNews,These ads ran without a disclaimer,≤100,1
39759254594,Earth Journalism Network,These ads ran without a disclaimer,≤100,1
858692494244840,"Casas De Walker - Brenda and Chris Walker, Keller Williams PSL",These ads ran without a disclaimer,≤100,1
231770403347896,PM.Hon James Marape,These ads ran without a disclaimer,≤100,1
114482873429845,PNG Agriculture,These ads ran without a disclaimer,≤100,2
140912545761964,Angela Merkel chancellor of Germany,These ads ran without a disclaimer,≤100,2
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,18
285530825204,Klitschko,These ads ran without a disclaimer,≤100,99
102857754432157,Asia Pacific Network of Environment Defenders - APNED,These ads ran without a disclaimer,≤100,1
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,≤100,2
111803644893357,Bakarap Muruk vibez,These ads ran without a disclaimer,≤100,1
100621219452909,Guoou sweater factory,These ads ran without a disclaimer,≤100,1
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,≤100,2
1675360659149686,University of Aberdeen School of Geosciences,These ads ran without a disclaimer,≤100,3
402685743676956,E-Volve Energy,These ads ran without a disclaimer,≤100,1
109241563958236,Statewide Sustainable Water Infrastructure to drought proof the state Qld,These ads ran without a disclaimer,≤100,5
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,28
516160621860982,Life PNG Care Inc,These ads ran without a disclaimer,≤100,1
109578537147209,Human Race,These ads ran without a disclaimer,≤100,8
184661098229492,Global Development Network,These ads ran without a disclaimer,≤100,2
33575580843,Microsoft Research,These ads ran without a disclaimer,≤100,2
156515867722292,PICS Telecom International,These ads ran without a disclaimer,≤100,2
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,16
102514611116335,Porgera Mt Kare Young Generations Association Inc,These ads ran without a disclaimer,≤100,1
102172221285950,West Sepik Chamber of Commerce,These ads ran without a disclaimer,≤100,1
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,28
115591005188475,Global Times,These ads ran without a disclaimer,≤100,12
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,12
261122861335274,Goroka and the Province of Eastern Highlands,These ads ran without a disclaimer,≤100,1
598705943508458,ADB Publications,These ads ran without a disclaimer,≤100,6
100567615811103,Protect Our Pacific,These ads ran without a disclaimer,≤100,1
134944113025304,Voracious B,These ads ran without a disclaimer,≤100,18
169098456873139,BESV,These ads ran without a disclaimer,≤100,1
674374605962850,Future of Life Institute,These ads ran without a disclaimer,≤100,2
106366418121233,Australia Awards Philippines,These ads ran without a disclaimer,≤100,1
106973682288754,Dominic Yambi,These ads ran without a disclaimer,≤100,3
193394557345243,Devex,These ads ran without a disclaimer,≤100,8
131928446574,HelpAge International,These ads ran without a disclaimer,≤100,6
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,≤100,20
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100,2
110983733684983,"La Salle Australia, New Zealand, Pakistan, Papua New Guinea",These ads ran without a disclaimer,≤100,3
100823192690476,Jennifer Davis,These ads ran without a disclaimer,≤100,1
348531276233537,Koala Mag,These ads ran without a disclaimer,≤100,14
745530978914571,Peter Manning Robinson,These ads ran without a disclaimer,≤100,3
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,6
175158559025224,Chatbot App,These ads ran without a disclaimer,≤100,1
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,7
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,9
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,6
265345800469382,Hyundai Motor Group,These ads ran without a disclaimer,≤100,3
112014055141188,Andrea Longo,These ads ran without a disclaimer,≤100,5
102202384790269,DiFluid,These ads ran without a disclaimer,≤100,1
1041958629230034,Breathofairtestimonies,These ads ran without a disclaimer,≤100,1
172904319967015,Robert Agarobe,These ads ran without a disclaimer,≤100,4
601235866602584,Reformed Perspective,These ads ran without a disclaimer,≤100,7
195457563804483,Meezan Bank Limited,These ads ran without a disclaimer,≤100,1
100577221766139,Rosso Cup,These ads ran without a disclaimer,≤100,1
117824851276581,James Marape,These ads ran without a disclaimer,≤100,1
1744911689126391,12up,These ads ran without a disclaimer,≤100,18
130523846822357,Prime Minister,These ads ran without a disclaimer,≤100,1
341166472895187,The Law Offices of John S. Eliasik,These ads ran without a disclaimer,≤100,1
111520808657005,Jason Koesana Sareke,These ads ran without a disclaimer,≤100,1
1740336349557186,Colby Jeffers,These ads ran without a disclaimer,≤100,3
110745751508438,Sensik Steaks,These ads ran without a disclaimer,≤100,1
107916935272496,2022  NGE Wewak Open-  Team Roger Enoch Sakambari,These ads ran without a disclaimer,≤100,1
105774361164233,Beautiful PNG,These ads ran without a disclaimer,≤100,2
500243826689996,Wisdom of Solomon's Proverbs,These ads ran without a disclaimer,≤100,5
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,5
109890034084198,Continental Casino Guide,These ads ran without a disclaimer,≤100,1
145643245456953,Jack Hibbs,These ads ran without a disclaimer,≤100,3
111783969059,Tony Robbins,These ads ran without a disclaimer,≤100,2
711009978986796,广交会,These ads ran without a disclaimer,≤100,4
1477408022357460,Daily Pip Trade,These ads ran without a disclaimer,≤100,1
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,10
105837862009417,MegaNovel: Fictions,These ads ran without a disclaimer,≤100,5
100631769298516,Tesler,These ads ran without a disclaimer,≤100,2
105990694364249,Library  BOX,These ads ran without a disclaimer,≤100,1
348838561645600,European Organization-EUO,These ads ran without a disclaimer,≤100,1
104854374984098,NCD TVET & School Fee Assistance Program,These ads ran without a disclaimer,≤100,1
1617753965111540,Oil and Gas World/Oil Sands Strong,These ads ran without a disclaimer,≤100,1
204847128458,World Parrot Trust,These ads ran without a disclaimer,≤100,4
102303134507801,Ocean Purpose Project,These ads ran without a disclaimer,≤100,8
151409322217001,Berlin School of Business & Innovation - BSBI,These ads ran without a disclaimer,≤100,2
101359732304206,Share_M113_x2,These ads ran without a disclaimer,≤100,6
144454705412725,Immanuel E-man Kombeakali II,These ads ran without a disclaimer,≤100,1
100773438987835,Standard Industries,These ads ran without a disclaimer,≤100,4
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,16
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,40
103733302465216,New Page,These ads ran without a disclaimer,≤100,2
150398642646,INFORSE,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,4
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
101368689303795,New China Research,These ads ran without a disclaimer,≤100,5
106065994136090,411 Entertainment,These ads ran without a disclaimer,≤100,1
261696814028450,The Carmelites of Australia and Timor-Leste,These ads ran without a disclaimer,≤100,2
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,10
104668744996219,Luxe Gazette,These ads ran without a disclaimer,≤100,1
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,2
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,11
134278719946186,Bayer,These ads ran without a disclaimer,≤100,8
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100,1
107744284923968,PNG Integrity News,These ads ran without a disclaimer,≤100,1
106479017486767,Mercy to Humanity - جَمْعِيَة رَحْمَةً لِلْعَالَمِين,These ads ran without a disclaimer,≤100,6
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,3
101229819148814,Reen Records,These ads ran without a disclaimer,≤100,8
325162294240152,Gps360 - GPS Vehicle Tracking Services in Papua New Guinea,These ads ran without a disclaimer,≤100,1
105138741123145,Streams.International,These ads ran without a disclaimer,≤100,2
148423685184180,"איל""ן - איגוד ישראלי לילדים נפגעים",These ads ran without a disclaimer,≤100,1
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,2
1174024365982168,Howard的家居好物推荐,These ads ran without a disclaimer,≤100,1
108318611888930,KataLite Consultancy,These ads ran without a disclaimer,≤100,2
111131098177941,Help Ukraine,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,3
112951954644596,Christopher Karaiye for Imbonggu Open - 2022,These ads ran without a disclaimer,≤100,2
104942321495828,Tian Wei at work,These ads ran without a disclaimer,≤100,5
174018156572729,Kambu,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,9
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,25
115916901000107,Wildography,These ads ran without a disclaimer,≤100,1
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,4
105686442303512,CTGI,These ads ran without a disclaimer,≤100,8
110180158293914,Style Of Grace Home Decor,These ads ran without a disclaimer,≤100,1
109850201576702,Discover Harbin,These ads ran without a disclaimer,≤100,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100,9
110824087752298,Wang Guan - public page,These ads ran without a disclaimer,≤100,2
213507770682317,Savage to Marriage,These ads ran without a disclaimer,≤100,3
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,41
123572367496203,Mɪᴄʜᴇʟʟᴇ Rᴏᴅʀɪɢᴜᴇᴢ Fans,These ads ran without a disclaimer,≤100,1
1435681100007859,Uniting Church NSW & ACT,These ads ran without a disclaimer,≤100,2
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,1
358481724165689,UTS International Students,These ads ran without a disclaimer,≤100,1
103957416108102,Philemon Walpui Tamari,These ads ran without a disclaimer,≤100,1
562471887119419,DHL Africa,These ads ran without a disclaimer,≤100,14
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,2
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,11
205687592632487,Mega Millions - Suggested Sequence,These ads ran without a disclaimer,≤100,2
530305363827156,UNLEASH,These ads ran without a disclaimer,≤100,4
101998658413144,Black Streak Anime,These ads ran without a disclaimer,≤100,12
105143981952671,Jewish Peoplehood עמיות יהודית,These ads ran without a disclaimer,≤100,1
111984154316319,Anton P Sekum,These ads ran without a disclaimer,≤100,1
18017481462,Acton Institute,These ads ran without a disclaimer,≤100,1
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,2
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
2079497235397580,עופר גולדשטיין רואי חשבון - מיסוי בינלאומי,These ads ran without a disclaimer,≤100,8
190638967645704,Maersk,These ads ran without a disclaimer,≤100,3
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,15
104926611720853,Nelly Gicho,These ads ran without a disclaimer,≤100,4
101692642793249,Ap Solomon Usukuni,These ads ran without a disclaimer,≤100,1
290457440821141,Czerka Labs,These ads ran without a disclaimer,≤100,1
159050394216641,The Jerusalem Post,These ads ran without a disclaimer,≤100,7
106231548785498,SEGIE OTIO,These ads ran without a disclaimer,≤100,1
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,≤100,4
102273068942042,Enso Circle Space,These ads ran without a disclaimer,≤100,2
106615745485833,Crime News Online,These ads ran without a disclaimer,≤100,2
101482766198180,Exposing Bitcoin Scammers,These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,5
1670459499903765,Sunny Bunny Solar,These ads ran without a disclaimer,≤100,2
112794927146269,Anern Solar Street Light & Solar Power System,These ads ran without a disclaimer,≤100,1
169818716857131,The Super Mom Life,These ads ran without a disclaimer,≤100,2
2472496116104022,APEC SEN,These ads ran without a disclaimer,≤100,1
322865159833,RCD Espanyol de Barcelona,These ads ran without a disclaimer,≤100,5
148083078714007,International Humanitarian Relief - IHR,These ads ran without a disclaimer,≤100,5
7268844551,Rotary International,These ads ran without a disclaimer,≤100,3
173771992497262,RenuTek,These ads ran without a disclaimer,≤100,1
322351140953943,E Tony Ware,These ads ran without a disclaimer,≤100,1
402052193189194,Siemens,These ads ran without a disclaimer,≤100,1
156438014212695,Blessed Online Business Pacific,These ads ran without a disclaimer,≤100,1
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,≤100,2
104238192067446,Fox'oclock,These ads ran without a disclaimer,≤100,3
1285540898206012,Zimbabwe Farm Project,These ads ran without a disclaimer,≤100,1
145327659223282,Nature Index,These ads ran without a disclaimer,≤100,1
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
108966741644172,Koray Beserler 1,These ads ran without a disclaimer,≤100,5
154483503074510,Instituto Internacional de Psicanálise,These ads ran without a disclaimer,≤100,1
134748216597458,Confederation of Meningitis Organisations (CoMO),These ads ran without a disclaimer,≤100,1
114173187847219,Gems For Everybody Prime,These ads ran without a disclaimer,≤100,3
